Query Number,Query Name,Execution Time,Plan time,Query hash
452,17,10a.sql,580.546,31.642,-4409698924550295459
453,17,10b.sql,235.419,27.496,2327673058233797615
454,17,10c.sql,24772.165,26.101,8860988427713565746
455,17,11a.sql,87.893,62.119,-8745628810626288278
137,17,11b.sql,38.694,54.964,-9046130082131908017
457,17,11c.sql,269.158,55.334,754561138292963678
138,17,11d.sql,264.312,52.273,-8853227751184510813
459,17,12a.sql,796.993,59.236,9049250486687881135
460,17,12b.sql,295.863,58.577,7111231359014454640
461,17,12c.sql,3529.97,56.221,5327500320564300865
462,17,13a.sql,1827.539,84.887,6101368897808108968
139,17,13b.sql,603.994,86.059,7105818783943848525
140,17,13c.sql,528.971,80.887,7105818783943848525
465,17,13d.sql,7771.229,71.063,-5885625972757298871
466,17,14a.sql,530.653,55.724,-6310738669154799660
467,17,14b.sql,263.701,57.169,7430954541387508965
468,17,14c.sql,848.163,55.483,-8051795807640054913
469,17,15a.sql,1171.968,128.843,1799237188439200003
470,17,15b.sql,71.846,137.967,-6016190586237425744
471,17,15c.sql,5165.19,125.778,-640293413413794320
472,17,15d.sql,4616.894,119.425,4581372305138760671
473,17,16a.sql,558.382,54.825,-1158816798049620833
474,17,16b.sql,16481.575,49.109,-2478965080048270031
475,17,16c.sql,3668.575,52.838,-5535901023995551278
476,17,16d.sql,4286.211,52.615,-1158816798049620833
477,17,17a.sql,7629.664,28.012,6019781246931083125
478,17,17b.sql,4489.623,27.251,7687882978329045374
479,17,17c.sql,3815.258,28.257,7687882978329045374
480,17,17d.sql,4050.635,28.951,-3809785603362132151
481,17,17e.sql,11537.609,28.086,-2972937597942960473
482,17,17f.sql,8186.407,27.952,-3809785603362132151
483,17,18a.sql,1947.946,31.314,-8570358269772166685
484,17,18b.sql,606.454,37.295,-1890080522291186125
485,17,18c.sql,13415.293,33.336,4621617272025517643
486,17,19a.sql,894.639,268.255,3261834294741233279
487,17,19b.sql,531.494,217.209,7204209839780818952
488,17,19c.sql,1541.954,225.921,-7738028735347059107
489,17,19d.sql,13943.659,200.848,5267282279652319986
490,17,1a.sql,299.351,11.999,-8455555668018032942
491,17,1b.sql,289.26,10.92,-5913694868169903349
492,17,1c.sql,294.133,11.762,4846285409507673210
493,17,1d.sql,285.576,10.419,-4294522389920564102
494,17,20a.sql,5280.602,146.198,3042830198267909074
495,17,20b.sql,1748.954,140.519,-3458609441065762063
496,17,20c.sql,1052.385,134.613,2558748867405111050
497,17,21a.sql,72.931,128.983,-1630088287367505151
498,17,21b.sql,80.87,138.076,6350469962105744477
141,17,21c.sql,61.933,132.613,2684397743657735043
500,17,22a.sql,714.238,346.994,-8852217324911197084
501,17,22b.sql,506.237,350.642,-8852217324911197084
502,17,22c.sql,1409.664,352.66,3330700635734281186
142,17,22d.sql,1109.573,327.828,8297872767581952856
504,17,23a.sql,340.354,331.783,1619127084338010792
505,17,23b.sql,103.378,282.445,-5259407748332317606
506,17,23c.sql,446.599,276.541,-1124127336827367041
507,17,24a.sql,387.497,3747.044,2280384413821366706
508,17,24b.sql,134.301,3677.685,-1794083932540499185
509,17,25a.sql,3354.957,104.753,-4626995031345076698
510,17,25b.sql,491.015,105.415,-4110854689441581467
511,17,25c.sql,7301.906,107.604,-6027221776095257325
512,17,26a.sql,828.054,2896.631,-5929401182124901517
513,17,26b.sql,383.253,2915.757,8502155271907567164
514,17,26c.sql,9699.445,2968.059,-7624179224219018171
143,17,27a.sql,77.483,3654.282,1758072863970875987
516,17,27b.sql,70.517,3623.754,-5510733515476627148
517,17,27c.sql,486.397,3186.612,-4477816371804978596
144,17,28a.sql,402.367,4853.686,4245832029459036970
519,17,28b.sql,396.614,5161.675,-565328161990619398
520,17,28c.sql,5643.564,4903.004,-808880556807194591
521,17,29a.sql,112.063,7788.508,-2799995183862506353
522,17,29b.sql,62.093,7290.11,-1912819773082406463
523,17,29c.sql,892.466,6579.452,6650214460147150979
524,17,2a.sql,1317.018,10.574,4654868730068868057
525,17,2b.sql,761.005,10.156,4654868730068868057
526,17,2c.sql,48.979,11.465,4654868730068868057
527,17,2d.sql,1374.611,10.495,4654868730068868057
528,17,30a.sql,819.598,3712.981,3596309516107956315
529,17,30b.sql,221.435,3986.332,2619358356542170316
530,17,30c.sql,2447.631,3557.587,-5261930549591539248
531,17,31a.sql,603.708,402.935,1975084072464202139
532,17,31b.sql,376.491,415.16,8637167297044090375
533,17,31c.sql,801.8,415.198,-8047523329439800675
534,17,32a.sql,25.66,18.089,-8152767229854360977
535,17,32b.sql,366.353,18.102,-8152767229854360977
536,17,33a.sql,68.173,4250.387,1264440547233771903
537,17,33b.sql,68.222,3845.608,5283902462801916534
538,17,33c.sql,65.731,4056.252,7696886476226925320
539,17,3a.sql,273.425,11.36,-4964681019064054343
540,17,3b.sql,160.162,9.791,2686551532437100503
541,17,3c.sql,476.171,11.208,-4267429084482334961
542,17,4a.sql,175.951,11.059,-6925252347296079652
543,17,4b.sql,150.262,10.584,-6925252347296079652
544,17,4c.sql,251.91,10.543,-6925252347296079652
545,17,5a.sql,590.369,12.912,-4875630082272532892
546,17,5b.sql,492.765,12.978,7799030661291734910
547,17,5c.sql,633.479,12.954,6287524160215096911
548,17,6a.sql,53.137,10.983,-1270565685357017756
549,17,6b.sql,337.932,11.426,5330016273682105912
550,17,6c.sql,26.626,10.584,-1270565685357017756
551,17,6d.sql,6173.539,11.345,5330016273682105912
552,17,6e.sql,43.258,10.639,-1270565685357017756
553,17,6f.sql,5717.313,9.791,9034840740838305022
554,17,7a.sql,1850.903,65.978,5731597360962035638
555,17,7b.sql,385.086,63.22,-5119135715290730827
