Query Number,Query Name,Execution Time,Plan time,Query hash
6,10a.sql,480.806,28.253,-4409698924550295459
6,10b.sql,217.044,26.043,2327673058233797615
6,10c.sql,22147.480,24.342,8860988427713565746
6,11a.sql,60.757,56.502,-8745628810626288278
6,11b.sql,37.871,55.229,-9046130082131908017
6,11c.sql,227.356,52.238,754561138292963678
6,11d.sql,260.594,54.045,-8853227751184510813
6,12a.sql,574.449,55.946,9049250486687881135
6,12b.sql,294.233,48.797,7111231359014454640
6,12c.sql,2693.948,56.610,5327500320564300865
6,13a.sql,1510.175,77.319,6101368897808108968
6,13b.sql,660.352,87.454,7105818783943848525
6,13c.sql,538.107,86.444,7105818783943848525
6,13d.sql,7127.857,77.479,-5885625972757298871
6,14a.sql,450.450,53.964,-6310738669154799660
6,14b.sql,244.183,54.605,7430954541387508965
6,14c.sql,786.545,52.797,-8051795807640054913
6,15a.sql,1077.719,125.972,1799237188439200003
6,15b.sql,64.994,126.245,-6016190586237425744
6,15c.sql,5240.530,119.431,-640293413413794320
6,15d.sql,4343.604,115.390,4581372305138760671
6,16a.sql,479.556,48.445,-1158816798049620833
6,16b.sql,14298.317,44.977,-2478965080048270031
6,16c.sql,96308.789,49.917,-5535901023995551278
6,16d.sql,4276.061,48.941,-1158816798049620833
6,17a.sql,5988.591,25.304,6019781246931083125
6,17b.sql,3801.477,27.225,7687882978329045374
6,17c.sql,3545.832,25.290,7687882978329045374
6,17d.sql,3638.274,24.440,-3809785603362132151
6,17e.sql,10167.552,25.904,-2972937597942960473
6,17f.sql,7117.419,25.223,-3809785603362132151
6,18a.sql,1661.930,28.334,-8570358269772166685
6,18b.sql,495.489,31.950,-1890080522291186125
6,18c.sql,10925.701,29.894,4621617272025517643
6,19a.sql,841.089,229.029,3261834294741233279
6,19b.sql,476.326,209.086,7204209839780818952
6,19c.sql,1766.990,209.424,-7738028735347059107
6,19d.sql,34564.751,203.394,5267282279652319986
6,1a.sql,310.429,11.506,-8455555668018032942
6,1b.sql,290.704,11.300,-5913694868169903349
6,1c.sql,300.647,11.531,4846285409507673210
6,1d.sql,294.244,10.788,-4294522389920564102
6,20a.sql,5420.474,142.866,3042830198267909074
6,20b.sql,2307.656,141.390,-3458609441065762063
6,20c.sql,1338.969,133.904,2558748867405111050
6,21a.sql,86.698,128.742,-1630088287367505151
6,21b.sql,72.923,127.085,6350469962105744477
6,21c.sql,83.088,129.773,2684397743657735043
6,22a.sql,595.304,335.984,-8852217324911197084
6,22b.sql,468.051,331.412,-8852217324911197084
6,22c.sql,1148.344,341.913,3330700635734281186
6,22d.sql,2585.399,328.166,8297872767581952856
6,23a.sql,282.730,306.863,1619127084338010792
6,23b.sql,78.814,301.267,-5259407748332317606
6,23c.sql,463.207,303.779,-1124127336827367041
6,24a.sql,326.451,3667.103,2280384413821366706
6,24b.sql,147.499,3779.306,-1794083932540499185
6,25a.sql,3510.480,114.602,-4626995031345076698
6,25b.sql,505.323,118.010,-4110854689441581467
6,25c.sql,18101.233,117.880,-6027221776095257325
6,26a.sql,1253.196,3243.064,-5929401182124901517
6,26b.sql,227.686,3066.596,8502155271907567164
6,26c.sql,6450.340,3032.230,-7624179224219018171
6,27a.sql,90.507,3473.762,1758072863970875987
6,27b.sql,54.291,3485.264,-5510733515476627148
6,27c.sql,355.343,3438.314,-4477816371804978596
6,28a.sql,1697.462,4792.669,4245832029459036970
6,28b.sql,215.355,4800.550,-565328161990619398
6,28c.sql,2303.460,4846.502,-808880556807194591
6,29a.sql,191.508,7139.361,-2799995183862506353
6,29b.sql,56.242,7034.827,-1912819773082406463
6,29c.sql,20347.003,6499.568,6650214460147150979
6,2a.sql,1058.175,10.071,4654868730068868057
6,2b.sql,745.797,10.344,4654868730068868057
6,2c.sql,49.106,10.415,4654868730068868057
6,2d.sql,1370.962,10.269,4654868730068868057
6,30a.sql,895.271,3600.003,3596309516107956315
6,30b.sql,197.347,3891.553,2619358356542170316
6,30c.sql,2164.441,3480.342,-5261930549591539248
6,31a.sql,523.902,403.129,1975084072464202139
