Query Number,Query Name,Execution Time,Plan time,Query hash
8,10a.sql,461.255,28.246,-4409698924550295459
8,10b.sql,217.074,26.493,2327673058233797615
8,10c.sql,21683.152,25.027,8860988427713565746
8,11a.sql,60.328,57.605,-8745628810626288278
8,11b.sql,40.181,55.653,-9046130082131908017
8,11c.sql,221.773,53.772,754561138292963678
8,11d.sql,260.551,48.559,-8853227751184510813
8,12a.sql,615.124,54.888,9049250486687881135
8,12b.sql,277.915,49.930,7111231359014454640
8,12c.sql,2841.816,52.430,5327500320564300865
8,13a.sql,1716.078,72.536,6101368897808108968
8,13b.sql,630.661,83.580,7105818783943848525
8,13c.sql,508.594,82.364,7105818783943848525
8,13d.sql,7479.133,73.044,-5885625972757298871
8,14a.sql,448.655,50.777,-6310738669154799660
8,14b.sql,236.513,52.427,7430954541387508965
8,14c.sql,779.218,49.204,-8051795807640054913
8,15a.sql,1087.904,126.972,1799237188439200003
8,15b.sql,65.965,127.217,-6016190586237425744
8,15c.sql,5047.367,118.055,-640293413413794320
8,15d.sql,4327.818,114.311,4581372305138760671
8,16a.sql,475.712,50.739,-1158816798049620833
8,16b.sql,14152.441,47.559,-2478965080048270031
8,16c.sql,3472.533,50.013,-5535901023995551278
8,16d.sql,4002.513,50.362,-1158816798049620833
8,17a.sql,6487.925,27.446,6019781246931083125
8,17b.sql,3985.468,27.605,7687882978329045374
8,17c.sql,3645.155,27.166,7687882978329045374
8,17d.sql,3882.632,27.736,-3809785603362132151
8,17e.sql,10965.120,28.231,-2972937597942960473
8,17f.sql,7821.027,26.340,-3809785603362132151
8,18a.sql,1554.912,30.762,-8570358269772166685
8,18b.sql,527.952,35.763,-1890080522291186125
8,18c.sql,11663.832,32.286,4621617272025517643
8,19a.sql,901.020,256.938,3261834294741233279
8,19b.sql,464.911,212.620,7204209839780818952
8,19c.sql,1462.034,225.564,-7738028735347059107
8,19d.sql,18472.407,202.428,5267282279652319986
8,1a.sql,294.243,11.194,-8455555668018032942
8,1b.sql,279.356,10.373,-5913694868169903349
8,1c.sql,283.909,10.635,4846285409507673210
8,1d.sql,271.211,10.093,-4294522389920564102
8,20a.sql,9805.281,133.226,3042830198267909074
8,20b.sql,4609.000,144.407,-3458609441065762063
8,20c.sql,2539.562,131.113,2558748867405111050
8,21a.sql,78.308,128.540,-1630088287367505151
8,21b.sql,73.449,120.100,6350469962105744477
8,21c.sql,68.209,119.562,2684397743657735043
8,22a.sql,1488.677,307.538,-8852217324911197084
8,22b.sql,415.846,303.331,-8852217324911197084
8,22c.sql,1445.630,300.536,3330700635734281186
8,22d.sql,1213.476,286.969,8297872767581952856
8,23a.sql,262.150,271.604,1619127084338010792
8,23b.sql,86.550,291.022,-5259407748332317606
8,23c.sql,453.747,288.603,-1124127336827367041
8,24a.sql,304.773,3497.413,2280384413821366706
8,24b.sql,141.304,3746.379,-1794083932540499185
8,25a.sql,3279.606,112.296,-4626995031345076698
8,25b.sql,487.900,114.034,-4110854689441581467
8,25c.sql,8718.546,114.482,-6027221776095257325
8,26a.sql,1561.618,3111.604,-5929401182124901517
