Query Number,Query Name,Execution Time,Plan time,Query hash
226,18,10a.sql,734.099,35.661,-4409698924550295459
227,18,10b.sql,231.601,27.002,2327673058233797615
228,18,10c.sql,24618.669,25.823,8860988427713565746
229,18,11a.sql,99.997,57.233,-8745628810626288278
16,18,11b.sql,37.052,53.85,-9046130082131908017
231,18,11c.sql,278.115,52.277,754561138292963678
17,18,11d.sql,252.186,47.836,-8853227751184510813
233,18,12a.sql,766.902,51.885,9049250486687881135
234,18,12b.sql,268.191,45.819,7111231359014454640
235,18,12c.sql,3973.932,51.889,5327500320564300865
236,18,13a.sql,2006.107,84.385,6101368897808108968
18,18,13b.sql,651.033,80.413,7105818783943848525
19,18,13c.sql,503.811,83.287,7105818783943848525
239,18,13d.sql,8371.685,78.522,-5885625972757298871
240,18,14a.sql,500.64,51.53,-6310738669154799660
241,18,14b.sql,249.468,54.192,7430954541387508965
242,18,14c.sql,804.649,52.256,-8051795807640054913
243,18,15a.sql,1102.636,130.204,1799237188439200003
244,18,15b.sql,64.664,122.739,-6016190586237425744
245,18,15c.sql,5549.83,121.338,-640293413413794320
246,18,15d.sql,4572.747,125.253,4581372305138760671
247,18,16a.sql,544.746,56.394,-1158816798049620833
248,18,16b.sql,16184.454,49.434,-2478965080048270031
249,18,16c.sql,3666.6,51.226,-5535901023995551278
250,18,16d.sql,4356.315,54.728,-1158816798049620833
251,18,17a.sql,8645.268,27.794,6019781246931083125
252,18,17b.sql,4302.292,27.718,7687882978329045374
253,18,17c.sql,4122.119,28.25,7687882978329045374
254,18,17d.sql,4326.499,27.397,-3809785603362132151
255,18,17e.sql,11662.855,28.538,-2972937597942960473
256,18,17f.sql,8129.27,27.957,-3809785603362132151
257,18,18a.sql,1918.829,32.879,-8570358269772166685
258,18,18b.sql,603.915,41.675,-1890080522291186125
259,18,18c.sql,13224.416,33.857,4621617272025517643
260,18,19a.sql,952.198,292.208,3261834294741233279
261,18,19b.sql,575.73,247.132,7204209839780818952
262,18,19c.sql,1696.856,241.942,-7738028735347059107
263,18,19d.sql,14306.695,220.717,5267282279652319986
264,18,1a.sql,313.511,11.945,-8455555668018032942
265,18,1b.sql,298.201,11.198,-5913694868169903349
266,18,1c.sql,299.46,11.877,4846285409507673210
267,18,1d.sql,295.281,11.053,-4294522389920564102
268,18,20a.sql,5452.773,150.639,3042830198267909074
269,18,20b.sql,1842.815,144.81,-3458609441065762063
270,18,20c.sql,1100.225,146.967,2558748867405111050
271,18,21a.sql,72.325,138.598,-1630088287367505151
272,18,21b.sql,82.641,134.134,6350469962105744477
20,18,21c.sql,59.146,120.731,2684397743657735043
274,18,22a.sql,718.844,353.396,-8852217324911197084
275,18,22b.sql,486.916,352.947,-8852217324911197084
276,18,22c.sql,1678.037,347.297,3330700635734281186
21,18,22d.sql,996.673,291.361,8297872767581952856
278,18,23a.sql,314.302,305.792,1619127084338010792
279,18,23b.sql,105.628,289.517,-5259407748332317606
280,18,23c.sql,459.693,289.8,-1124127336827367041
281,18,24a.sql,347.328,3887.15,2280384413821366706
282,18,24b.sql,142.286,3699.96,-1794083932540499185
283,18,25a.sql,3277.951,107.14,-4626995031345076698
284,18,25b.sql,539.158,120.87,-4110854689441581467
285,18,25c.sql,7414.803,117.157,-6027221776095257325
286,18,26a.sql,650.549,3032.949,-5929401182124901517
287,18,26b.sql,215.625,3081.148,8502155271907567164
288,18,26c.sql,2375.346,3067.464,-7624179224219018171
22,18,27a.sql,66.715,3244.288,1758072863970875987
290,18,27b.sql,110.561,3426.193,-5510733515476627148
291,18,27c.sql,484.806,3343.546,-4477816371804978596
23,18,28a.sql,363.75,4391.825,4245832029459036970
293,18,28b.sql,324.914,4701.055,-565328161990619398
294,18,28c.sql,627.452,4851.811,-808880556807194591
295,18,29a.sql,55.681,7320.471,-2799995183862506353
296,18,29b.sql,57.799,6995.417,-1912819773082406463
297,18,29c.sql,869.549,6519.988,6650214460147150979
298,18,2a.sql,1008.14,10.246,4654868730068868057
299,18,2b.sql,763.005,9.911,4654868730068868057
300,18,2c.sql,50.341,10.504,4654868730068868057
301,18,2d.sql,1335.38,10.419,4654868730068868057
302,18,30a.sql,774.271,3630.403,3596309516107956315
303,18,30b.sql,236.095,4059.932,2619358356542170316
