Query Number,Query Name,Execution Time,Plan time,Query hash
22,10a.sql,486.755,29.036,-4409698924550295459
22,10b.sql,228.466,26.814,2327673058233797615
22,10c.sql,23136.476,26.861,8860988427713565746
22,11a.sql,80.226,59.528,-8745628810626288278
22,11b.sql,40.408,57.273,-9046130082131908017
22,11c.sql,263.520,53.810,754561138292963678
22,11d.sql,275.794,52.498,-8853227751184510813
22,12a.sql,754.593,56.937,9049250486687881135
22,12b.sql,289.812,51.875,7111231359014454640
22,12c.sql,3696.756,59.314,5327500320564300865
22,13a.sql,1955.237,83.857,6101368897808108968
22,13b.sql,653.363,87.142,7105818783943848525
22,13c.sql,574.305,86.436,7105818783943848525
22,13d.sql,7611.390,81.058,-5885625972757298871
22,14a.sql,506.666,55.126,-6310738669154799660
22,14b.sql,256.791,57.358,7430954541387508965
22,14c.sql,855.276,54.147,-8051795807640054913
22,15a.sql,1108.455,133.685,1799237188439200003
22,15b.sql,70.097,136.736,-6016190586237425744
22,15c.sql,4733.326,121.901,-640293413413794320
22,15d.sql,4602.795,121.801,4581372305138760671
22,16a.sql,505.955,51.405,-1158816798049620833
22,16b.sql,14440.415,49.535,-2478965080048270031
22,16c.sql,3327.306,47.216,-5535901023995551278
22,16d.sql,3915.078,50.873,-1158816798049620833
22,17a.sql,6919.907,26.692,6019781246931083125
22,17b.sql,4221.968,25.731,7687882978329045374
22,17c.sql,3783.568,28.854,7687882978329045374
22,17d.sql,3957.657,27.326,-3809785603362132151
22,17e.sql,11149.673,28.676,-2972937597942960473
22,17f.sql,8033.463,27.358,-3809785603362132151
22,18a.sql,1919.040,32.731,-8570358269772166685
22,18b.sql,573.409,37.962,-1890080522291186125
22,18c.sql,12967.266,34.028,4621617272025517643
22,19a.sql,950.608,297.352,3261834294741233279
22,19b.sql,560.442,235.718,7204209839780818952
22,19c.sql,1649.421,235.751,-7738028735347059107
22,19d.sql,13889.173,215.644,5267282279652319986
22,1a.sql,332.690,11.759,-8455555668018032942
22,1b.sql,289.413,11.117,-5913694868169903349
22,1c.sql,290.221,11.381,4846285409507673210
22,1d.sql,284.475,11.035,-4294522389920564102
22,20a.sql,5243.758,143.688,3042830198267909074
22,20b.sql,1773.795,140.920,-3458609441065762063
22,20c.sql,1024.537,138.328,2558748867405111050
22,21a.sql,63.765,124.388,-1630088287367505151
22,21b.sql,74.780,121.828,6350469962105744477
22,21c.sql,67.746,122.907,2684397743657735043
22,22a.sql,647.919,332.778,-8852217324911197084
22,22b.sql,464.396,322.895,-8852217324911197084
22,22c.sql,1024.127,310.302,3330700635734281186
22,22d.sql,23383.685,315.573,8297872767581952856
22,23a.sql,294.219,279.521,1619127084338010792
22,23b.sql,98.796,279.604,-5259407748332317606
22,23c.sql,443.231,281.325,-1124127336827367041
22,24a.sql,364.008,3857.798,2280384413821366706
22,24b.sql,137.090,3694.354,-1794083932540499185
22,25a.sql,3863.456,108.690,-4626995031345076698
