Query Number,Query Name,Execution Time,Plan time,Query hash
2599,21,10a.sql,501.418,28.813,-4409698924550295459
2600,21,10b.sql,219.912,25.334,2327673058233797615
2601,21,10c.sql,22907.795,23.263,8860988427713565746
2602,21,11a.sql,82.082,56.809,-8745628810626288278
1339,21,11b.sql,35.27,53.097,-9046130082131908017
2604,21,11c.sql,259.64,51.516,754561138292963678
1340,21,11d.sql,247.026,48.247,-8853227751184510813
2606,21,12a.sql,630.624,55.269,9049250486687881135
2607,21,12b.sql,287.548,48.869,7111231359014454640
2608,21,12c.sql,3600.666,54.336,5327500320564300865
2609,21,13a.sql,1905.733,81.647,6101368897808108968
1341,21,13b.sql,555.261,77.429,7105818783943848525
1342,21,13c.sql,480.871,77.528,7105818783943848525
2612,21,13d.sql,7592.386,78.668,-5885625972757298871
2613,21,14a.sql,510.642,55.031,-6310738669154799660
2614,21,14b.sql,270.143,56.945,7430954541387508965
2615,21,14c.sql,842.202,54.376,-8051795807640054913
2616,21,15a.sql,1121.596,136.82,1799237188439200003
2617,21,15b.sql,64.623,130.717,-6016190586237425744
2618,21,15c.sql,4914.465,120.363,-640293413413794320
2619,21,15d.sql,4508.799,125.282,4581372305138760671
2620,21,16a.sql,517.707,51.166,-1158816798049620833
2621,21,16b.sql,16329.066,46.925,-2478965080048270031
2622,21,16c.sql,3763.615,50.606,-5535901023995551278
2623,21,16d.sql,4297.963,51.865,-1158816798049620833
2624,21,17a.sql,8145.988,27.566,6019781246931083125
2625,21,17b.sql,4691.299,26.301,7687882978329045374
2626,21,17c.sql,4152.026,25.347,7687882978329045374
2627,21,17d.sql,3875.607,29.759,-3809785603362132151
2628,21,17e.sql,10988.199,25.121,-2972937597942960473
2629,21,17f.sql,7959.728,28.128,-3809785603362132151
2630,21,18a.sql,1798.467,28.945,-8570358269772166685
2631,21,18b.sql,564.99,34.08,-1890080522291186125
2632,21,18c.sql,13078.06,32.66,4621617272025517643
2633,21,19a.sql,952.842,258.055,3261834294741233279
2634,21,19b.sql,529.688,217.918,7204209839780818952
2635,21,19c.sql,1518.465,220.951,-7738028735347059107
2636,21,19d.sql,12823.869,197.941,5267282279652319986
2637,21,1a.sql,292.531,10.435,-8455555668018032942
2638,21,1b.sql,329.122,11.016,-5913694868169903349
2639,21,1c.sql,271.892,11.309,4846285409507673210
2640,21,1d.sql,270.163,10.135,-4294522389920564102
2641,21,20a.sql,5194.254,130.623,3042830198267909074
2642,21,20b.sql,1690.519,134.972,-3458609441065762063
2643,21,20c.sql,1021.015,137.363,2558748867405111050
2644,21,21a.sql,61.166,128.187,-1630088287367505151
2645,21,21b.sql,73.629,120.711,6350469962105744477
1343,21,21c.sql,57.709,120.483,2684397743657735043
2647,21,22a.sql,622.816,332.869,-8852217324911197084
2648,21,22b.sql,484.012,331.651,-8852217324911197084
2649,21,22c.sql,4349.337,326.704,3330700635734281186
1344,21,22d.sql,958.099,304.428,8297872767581952856
2651,21,23a.sql,324.632,303.987,1619127084338010792
2652,21,23b.sql,109.692,303.746,-5259407748332317606
2653,21,23c.sql,467.816,306.55,-1124127336827367041
2654,21,24a.sql,384.871,3978.468,2280384413821366706
2655,21,24b.sql,149.88,3811.603,-1794083932540499185
2656,21,25a.sql,3506.1,112.745,-4626995031345076698
2657,21,25b.sql,491.452,114.867,-4110854689441581467
2658,21,25c.sql,7569.708,110.001,-6027221776095257325
2659,21,26a.sql,1070.082,3248.8,-5929401182124901517
2660,21,26b.sql,263.857,2948.405,8502155271907567164
2661,21,26c.sql,1421.31,2875.733,-7624179224219018171
1345,21,27a.sql,1148.858,3176.707,1758072863970875987
2663,21,27b.sql,44.675,3295.882,-5510733515476627148
2664,21,27c.sql,185.348,3323.74,-4477816371804978596
1346,21,28a.sql,377.465,4400.623,4245832029459036970
2666,21,28b.sql,324.009,4550.274,-565328161990619398
2667,21,28c.sql,382.35,4742.114,-808880556807194591
2668,21,29a.sql,104.127,7413.355,-2799995183862506353
2669,21,29b.sql,56.894,6773.867,-1912819773082406463
2670,21,29c.sql,1706.343,6224.044,6650214460147150979
2671,21,2a.sql,1060.867,11.34,4654868730068868057
2672,21,2b.sql,806.009,10.465,4654868730068868057
2673,21,2c.sql,50.708,10.606,4654868730068868057
2674,21,2d.sql,1446.316,10.356,4654868730068868057
2675,21,30a.sql,813.163,3783.442,3596309516107956315
2676,21,30b.sql,344.352,4105.24,2619358356542170316
2677,21,30c.sql,2457.967,3658.381,-5261930549591539248
2678,21,31a.sql,667.089,424.686,1975084072464202139
2679,21,31b.sql,79.361,430.013,8637167297044090375
2680,21,31c.sql,994.468,413.481,-8047523329439800675
2681,21,32a.sql,26.972,19.363,-8152767229854360977
2682,21,32b.sql,363.513,17.405,-8152767229854360977
2683,21,33a.sql,80.734,4081.629,1264440547233771903
2684,21,33b.sql,66.38,3802.458,5283902462801916534
2685,21,33c.sql,63.214,3947.651,7696886476226925320
2686,21,3a.sql,268.513,11.398,-4964681019064054343
2687,21,3b.sql,174.979,11.321,2686551532437100503
2688,21,3c.sql,493.231,11.326,-4267429084482334961
2689,21,4a.sql,178.319,11.251,-6925252347296079652
2690,21,4b.sql,151.65,10.64,-6925252347296079652
2691,21,4c.sql,264.601,11.114,-6925252347296079652
2692,21,5a.sql,573.998,13.061,-4875630082272532892
2693,21,5b.sql,493.627,13.378,7799030661291734910
2694,21,5c.sql,622.607,13.149,6287524160215096911
2695,21,6a.sql,50.757,11.118,-1270565685357017756
2696,21,6b.sql,319.784,11.722,5330016273682105912
2697,21,6c.sql,26.788,10.892,-1270565685357017756
2698,21,6d.sql,6128.513,11.296,5330016273682105912
2699,21,6e.sql,44.911,11.235,-1270565685357017756
2700,21,6f.sql,5729.126,10.865,9034840740838305022
2701,21,7a.sql,1888.055,64.983,5731597360962035638
2702,21,7b.sql,403.865,60.353,-5119135715290730827
2703,21,7c.sql,5577.094,66.264,-767513669091434600
2704,21,8a.sql,3041.254,37.127,-5383241493793754728
2705,21,8b.sql,284.114,39.778,-7648844854832005228
2706,21,8c.sql,14196.579,28.687,7828965998619474049
2707,21,8d.sql,5960.61,29.24,7828965998619474049
2708,21,9a.sql,1005.637,72.223,9182348733289197053
2709,21,9b.sql,3793.434,73.341,759743340442407318
2710,21,9c.sql,1782.46,61.613,-3495764495604230484
2711,21,9d.sql,11443.504,61.709,-3970444003182879231
