Query Number,Query Name,Execution Time,Plan time,Query hash
7,10a.sql,467.198,27.134,-4409698924550295459
7,10b.sql,208.327,25.953,2327673058233797615
7,10c.sql,21933.060,24.442,8860988427713565746
7,11a.sql,60.314,56.373,-8745628810626288278
7,11b.sql,39.600,54.260,-9046130082131908017
7,11c.sql,231.660,51.897,754561138292963678
7,11d.sql,271.567,50.407,-8853227751184510813
7,12a.sql,558.699,54.413,9049250486687881135
7,12b.sql,274.865,46.773,7111231359014454640
7,12c.sql,2480.900,54.985,5327500320564300865
7,13a.sql,1644.135,76.822,6101368897808108968
7,13b.sql,647.649,83.511,7105818783943848525
7,13c.sql,518.209,82.086,7105818783943848525
7,13d.sql,7194.134,72.364,-5885625972757298871
7,14a.sql,457.671,53.688,-6310738669154799660
7,14b.sql,268.564,55.313,7430954541387508965
7,14c.sql,846.389,52.737,-8051795807640054913
7,15a.sql,1114.322,139.678,1799237188439200003
7,15b.sql,73.670,129.716,-6016190586237425744
7,15c.sql,5123.746,118.404,-640293413413794320
7,15d.sql,4346.263,114.106,4581372305138760671
7,16a.sql,503.179,50.726,-1158816798049620833
7,16b.sql,14209.883,46.820,-2478965080048270031
7,16c.sql,3444.640,48.032,-5535901023995551278
7,16d.sql,4445.063,51.723,-1158816798049620833
7,17a.sql,6545.760,28.481,6019781246931083125
7,17b.sql,3916.771,26.112,7687882978329045374
7,17c.sql,3662.696,26.234,7687882978329045374
7,17d.sql,3880.172,26.676,-3809785603362132151
7,17e.sql,10866.310,27.242,-2972937597942960473
7,17f.sql,7750.569,27.053,-3809785603362132151
7,18a.sql,1690.863,29.523,-8570358269772166685
7,18b.sql,522.302,34.319,-1890080522291186125
7,18c.sql,11601.054,30.459,4621617272025517643
7,19a.sql,880.805,243.234,3261834294741233279
7,19b.sql,493.232,223.661,7204209839780818952
7,19c.sql,2083.629,223.624,-7738028735347059107
7,19d.sql,75496.754,205.070,5267282279652319986
7,1a.sql,274.549,10.234,-8455555668018032942
7,1b.sql,260.103,9.993,-5913694868169903349
7,1c.sql,273.397,10.115,4846285409507673210
7,1d.sql,267.683,9.872,-4294522389920564102
7,20a.sql,5449.821,129.112,3042830198267909074
7,20b.sql,3322.948,123.126,-3458609441065762063
7,20c.sql,2135.433,125.636,2558748867405111050
7,21a.sql,114.293,121.332,-1630088287367505151
7,21b.sql,70.721,117.160,6350469962105744477
7,21c.sql,101.457,121.217,2684397743657735043
7,22a.sql,933.280,307.278,-8852217324911197084
7,22b.sql,451.464,325.546,-8852217324911197084
7,22c.sql,1005.104,323.615,3330700635734281186
7,22d.sql,1430.203,313.196,8297872767581952856
7,23a.sql,265.230,275.640,1619127084338010792
7,23b.sql,66.867,290.237,-5259407748332317606
7,23c.sql,455.846,287.503,-1124127336827367041
7,24a.sql,314.737,3458.147,2280384413821366706
7,24b.sql,145.416,3704.775,-1794083932540499185
7,25a.sql,4056.006,112.758,-4626995031345076698
7,25b.sql,489.210,112.534,-4110854689441581467
7,25c.sql,7306.971,115.573,-6027221776095257325
7,26a.sql,1180.143,3123.562,-5929401182124901517
7,26b.sql,892.139,3059.398,8502155271907567164
7,26c.sql,1491.354,2993.607,-7624179224219018171
7,27a.sql,251.188,3523.300,1758072863970875987
7,27b.sql,88.608,3492.366,-5510733515476627148
7,27c.sql,203.690,3515.450,-4477816371804978596
7,28a.sql,318.268,4866.777,4245832029459036970
7,28b.sql,430.529,4805.268,-565328161990619398
7,28c.sql,8106.444,4928.944,-808880556807194591
7,29a.sql,315.687,7097.068,-2799995183862506353
7,29b.sql,57.406,6978.422,-1912819773082406463
7,29c.sql,8876.963,6433.233,6650214460147150979
7,2a.sql,812.793,10.229,4654868730068868057
7,2b.sql,763.113,10.093,4654868730068868057
7,2c.sql,47.858,10.010,4654868730068868057
7,2d.sql,1350.808,9.933,4654868730068868057
7,30a.sql,766.811,3657.774,3596309516107956315
7,30b.sql,2185.442,3989.711,2619358356542170316
7,30c.sql,4484.924,3527.738,-5261930549591539248
7,31a.sql,629.148,388.537,1975084072464202139
7,31b.sql,76.191,378.479,8637167297044090375
7,31c.sql,770.125,386.531,-8047523329439800675
7,32a.sql,25.064,18.118,-8152767229854360977
7,32b.sql,351.219,15.694,-8152767229854360977
7,33a.sql,91.767,3813.869,1264440547233771903
7,33b.sql,56.971,3576.968,5283902462801916534
7,33c.sql,60.064,3752.812,7696886476226925320
7,3a.sql,253.602,11.240,-4964681019064054343
7,3b.sql,157.208,9.984,2686551532437100503
7,3c.sql,450.481,11.307,-4267429084482334961
7,4a.sql,165.668,10.777,-6925252347296079652
7,4b.sql,144.230,10.614,-6925252347296079652
7,4c.sql,237.662,10.418,-6925252347296079652
7,5a.sql,511.841,12.485,-4875630082272532892
7,5b.sql,456.341,12.760,7799030661291734910
7,5c.sql,594.391,13.096,6287524160215096911
7,6a.sql,42.038,10.146,-1270565685357017756
7,6b.sql,289.087,10.505,5330016273682105912
7,6c.sql,25.304,9.975,-1270565685357017756
7,6d.sql,5327.381,10.816,5330016273682105912
7,6e.sql,41.043,10.702,-1270565685357017756
7,6f.sql,5397.701,10.464,9034840740838305022
7,7a.sql,1629.787,58.901,5731597360962035638
7,7b.sql,364.700,57.129,-5119135715290730827
7,7c.sql,6892.150,59.218,-767513669091434600
7,8a.sql,3020.607,33.110,-5383241493793754728
