Query Number,Query Name,Execution Time,Plan time,Query hash
2147,20,10a.sql,482.663,27.235,-4409698924550295459
2148,20,10b.sql,226.938,27.081,2327673058233797615
2149,20,10c.sql,22627.704,24.411,8860988427713565746
2150,20,11a.sql,81.011,56.923,-8745628810626288278
1097,20,11b.sql,34.41,51.276,-9046130082131908017
2152,20,11c.sql,248.268,50.642,754561138292963678
1098,20,11d.sql,235.51,46.916,-8853227751184510813
2154,20,12a.sql,733.566,54.251,9049250486687881135
2155,20,12b.sql,267.903,46.383,7111231359014454640
2156,20,12c.sql,3434.26,52.804,5327500320564300865
2157,20,13a.sql,1887.882,77.772,6101368897808108968
1099,20,13b.sql,555.527,78.153,7105818783943848525
1100,20,13c.sql,478.017,77.774,7105818783943848525
2160,20,13d.sql,7269.658,72.974,-5885625972757298871
2161,20,14a.sql,475.712,52.74,-6310738669154799660
2162,20,14b.sql,236.418,54.278,7430954541387508965
2163,20,14c.sql,812.789,51.345,-8051795807640054913
2164,20,15a.sql,1106.146,124.302,1799237188439200003
2165,20,15b.sql,73.466,124.767,-6016190586237425744
2166,20,15c.sql,4580.787,112.845,-640293413413794320
2167,20,15d.sql,4360.45,109.902,4581372305138760671
2168,20,16a.sql,481.514,51.029,-1158816798049620833
2169,20,16b.sql,17316.064,46.19,-2478965080048270031
2170,20,16c.sql,3797.74,50.508,-5535901023995551278
2171,20,16d.sql,4054.023,48.597,-1158816798049620833
2172,20,17a.sql,7348.509,28.376,6019781246931083125
2173,20,17b.sql,4251.121,26.411,7687882978329045374
2174,20,17c.sql,3723.722,26.757,7687882978329045374
2175,20,17d.sql,3833.666,27.674,-3809785603362132151
2176,20,17e.sql,10981.651,26.861,-2972937597942960473
2177,20,17f.sql,8081.637,26.728,-3809785603362132151
2178,20,18a.sql,1855.445,32.526,-8570358269772166685
2179,20,18b.sql,593.367,38.909,-1890080522291186125
2180,20,18c.sql,12943.151,31.806,4621617272025517643
2181,20,19a.sql,898.588,262.689,3261834294741233279
2182,20,19b.sql,543.273,220.143,7204209839780818952
2183,20,19c.sql,1748.747,244.939,-7738028735347059107
2184,20,19d.sql,13531.284,224.594,5267282279652319986
2185,20,1a.sql,303.553,11.932,-8455555668018032942
2186,20,1b.sql,279.851,10.643,-5913694868169903349
2187,20,1c.sql,269.428,11.493,4846285409507673210
2188,20,1d.sql,268.511,9.688,-4294522389920564102
2189,20,20a.sql,5268.961,134.639,3042830198267909074
2190,20,20b.sql,1726.389,127.827,-3458609441065762063
2191,20,20c.sql,991.233,127.853,2558748867405111050
2192,20,21a.sql,63.013,121.201,-1630088287367505151
2193,20,21b.sql,76.023,119.409,6350469962105744477
1101,20,21c.sql,55.784,122.369,2684397743657735043
2195,20,22a.sql,650.227,332.463,-8852217324911197084
2196,20,22b.sql,498.777,322.792,-8852217324911197084
2197,20,22c.sql,13043.085,328.062,3330700635734281186
1102,20,22d.sql,934.055,291.049,8297872767581952856
2199,20,23a.sql,302.095,294.011,1619127084338010792
2200,20,23b.sql,107.614,297.837,-5259407748332317606
2201,20,23c.sql,495.37,297.817,-1124127336827367041
2202,20,24a.sql,412.326,4060.784,2280384413821366706
2203,20,24b.sql,142.112,3960.646,-1794083932540499185
2204,20,25a.sql,3626.171,104.98,-4626995031345076698
2205,20,25b.sql,506.624,111.905,-4110854689441581467
2206,20,25c.sql,7644.586,108.782,-6027221776095257325
2207,20,26a.sql,2422.155,3373.88,-5929401182124901517
2208,20,26b.sql,858.719,2962.925,8502155271907567164
2209,20,26c.sql,1245.992,3028.932,-7624179224219018171
1103,20,27a.sql,67.959,3399.137,1758072863970875987
2211,20,27b.sql,48.985,3479.549,-5510733515476627148
2212,20,27c.sql,236.295,3303.139,-4477816371804978596
1104,20,28a.sql,362.613,4413.294,4245832029459036970
2214,20,28b.sql,374.662,4849.838,-565328161990619398
2215,20,28c.sql,407.93,5070.184,-808880556807194591
2216,20,29a.sql,109.266,8192.661,-2799995183862506353
2217,20,29b.sql,61.47,7383.247,-1912819773082406463
2218,20,29c.sql,1703.055,6867.397,6650214460147150979
2219,20,2a.sql,1062.133,12.141,4654868730068868057
2220,20,2b.sql,834.434,11.218,4654868730068868057
2221,20,2c.sql,51.812,11.175,4654868730068868057
2222,20,2d.sql,1477.589,10.572,4654868730068868057
2223,20,30a.sql,920.814,3784.298,3596309516107956315
2224,20,30b.sql,212.576,4061.939,2619358356542170316
2225,20,30c.sql,2941.681,3588.157,-5261930549591539248
2226,20,31a.sql,1085.375,426.951,1975084072464202139
2227,20,31b.sql,81.019,433.375,8637167297044090375
2228,20,31c.sql,864.083,430.294,-8047523329439800675
2229,20,32a.sql,27.792,19.641,-8152767229854360977
2230,20,32b.sql,392.035,17.485,-8152767229854360977
2231,20,33a.sql,77.158,4148.795,1264440547233771903
2232,20,33b.sql,62.616,3760.837,5283902462801916534
2233,20,33c.sql,66.027,3962.491,7696886476226925320
2234,20,3a.sql,277.628,11.851,-4964681019064054343
2235,20,3b.sql,167.266,10.362,2686551532437100503
2236,20,3c.sql,489.333,11.294,-4267429084482334961
2237,20,4a.sql,185.923,11.204,-6925252347296079652
2238,20,4b.sql,153.796,11.035,-6925252347296079652
2239,20,4c.sql,258.291,11.148,-6925252347296079652
2240,20,5a.sql,588.183,13.058,-4875630082272532892
2241,20,5b.sql,491.048,13.51,7799030661291734910
2242,20,5c.sql,617.98,13.109,6287524160215096911
2243,20,6a.sql,50.651,11.161,-1270565685357017756
2244,20,6b.sql,323.014,11.524,5330016273682105912
2245,20,6c.sql,27.38,10.667,-1270565685357017756
2246,20,6d.sql,6512.706,11.31,5330016273682105912
2247,20,6e.sql,46.668,11.258,-1270565685357017756
2248,20,6f.sql,5704.915,10.883,9034840740838305022
2249,20,7a.sql,1878.383,66.41,5731597360962035638
2250,20,7b.sql,383.445,55.651,-5119135715290730827
2251,20,7c.sql,5633.416,59.713,-767513669091434600
2252,20,8a.sql,3140.091,35.832,-5383241493793754728
2253,20,8b.sql,293.886,42.579,-7648844854832005228
