Query Number,Query Name,Execution Time,Plan time,Query hash
1356,23,10a.sql,916.231,33.804,-4409698924550295459
1357,23,10b.sql,232.118,25.932,2327673058233797615
1358,23,10c.sql,25705.671,41.123,8860988427713565746
1359,23,11a.sql,91.987,54.657,-8745628810626288278
411,23,11b.sql,34.43,53.317,-9046130082131908017
1361,23,11c.sql,285.227,57.06,754561138292963678
412,23,11d.sql,236.125,53.538,-8853227751184510813
1363,23,12a.sql,803.857,61.006,9049250486687881135
1364,23,12b.sql,291.433,52.25,7111231359014454640
1365,23,12c.sql,3894.831,61.047,5327500320564300865
1366,23,13a.sql,1851.716,83.148,6101368897808108968
413,23,13b.sql,556.943,80.833,7105818783943848525
414,23,13c.sql,477.125,76.819,7105818783943848525
1369,23,13d.sql,7495.42,70.318,-5885625972757298871
1370,23,14a.sql,542.276,55.36,-6310738669154799660
1371,23,14b.sql,258.395,57.777,7430954541387508965
1372,23,14c.sql,870.559,60.898,-8051795807640054913
1373,23,15a.sql,1145.865,130.335,1799237188439200003
1374,23,15b.sql,64.65,131.132,-6016190586237425744
1375,23,15c.sql,5427.73,119.185,-640293413413794320
1376,23,15d.sql,4768.184,131.082,4581372305138760671
1377,23,16a.sql,629.759,54.138,-1158816798049620833
1378,23,16b.sql,17355.414,48.391,-2478965080048270031
1379,23,16c.sql,3404.097,47.499,-5535901023995551278
1380,23,16d.sql,3875.037,50.323,-1158816798049620833
1381,23,17a.sql,7888.468,27.228,6019781246931083125
1382,23,17b.sql,4817.875,27.098,7687882978329045374
1383,23,17c.sql,4618.495,26.507,7687882978329045374
1384,23,17d.sql,4670.167,30.284,-3809785603362132151
1385,23,17e.sql,12016.807,29.946,-2972937597942960473
1386,23,17f.sql,8721.488,27.1,-3809785603362132151
1387,23,18a.sql,2144.544,33.683,-8570358269772166685
1388,23,18b.sql,683.361,36.166,-1890080522291186125
1389,23,18c.sql,14420.593,36.868,4621617272025517643
1390,23,19a.sql,1040.144,299.574,3261834294741233279
1391,23,19b.sql,616.065,241.01,7204209839780818952
1392,23,19c.sql,1732.709,238.108,-7738028735347059107
1393,23,19d.sql,14845.948,209.549,5267282279652319986
1394,23,1a.sql,315.776,11.266,-8455555668018032942
1395,23,1b.sql,302.536,10.692,-5913694868169903349
1396,23,1c.sql,296.345,11.845,4846285409507673210
1397,23,1d.sql,289.359,11.154,-4294522389920564102
1398,23,20a.sql,6290.824,153.17,3042830198267909074
1399,23,20b.sql,1986.201,150.292,-3458609441065762063
1400,23,20c.sql,1154.888,141.865,2558748867405111050
1401,23,21a.sql,74.586,135.156,-1630088287367505151
1402,23,21b.sql,88.34,138.888,6350469962105744477
415,23,21c.sql,56.403,120.018,2684397743657735043
1404,23,22a.sql,876.049,378.201,-8852217324911197084
1405,23,22b.sql,554.956,344.428,-8852217324911197084
1406,23,22c.sql,1237.356,361.283,3330700635734281186
416,23,22d.sql,946.33,292.643,8297872767581952856
1408,23,23a.sql,321.551,320.815,1619127084338010792
1409,23,23b.sql,134.517,310.573,-5259407748332317606
1410,23,23c.sql,562.434,321.135,-1124127336827367041
1411,23,24a.sql,423.683,4341.419,2280384413821366706
1412,23,24b.sql,186.553,4121.414,-1794083932540499185
1413,23,25a.sql,4137.333,117.457,-4626995031345076698
1414,23,25b.sql,547.292,119.488,-4110854689441581467
1415,23,25c.sql,8596.43,119.927,-6027221776095257325
1416,23,26a.sql,641.327,3648.474,-5929401182124901517
1417,23,26b.sql,404.574,3177.603,8502155271907567164
1418,23,26c.sql,1576.064,3144.398,-7624179224219018171
417,23,27a.sql,54.27,3196.743,1758072863970875987
1420,23,27b.sql,48.679,3731.056,-5510733515476627148
1421,23,27c.sql,1288.086,3686.266,-4477816371804978596
418,23,28a.sql,376.883,4432.18,4245832029459036970
1423,23,28b.sql,377.359,5051.602,-565328161990619398
1424,23,28c.sql,1365.388,5374.831,-808880556807194591
1425,23,29a.sql,114.663,7959.68,-2799995183862506353
1426,23,29b.sql,60.084,7443.126,-1912819773082406463
1427,23,29c.sql,511.699,6486.861,6650214460147150979
1428,23,2a.sql,1144.038,10.077,4654868730068868057
1429,23,2b.sql,774.669,9.941,4654868730068868057
1430,23,2c.sql,48.371,10.057,4654868730068868057
1431,23,2d.sql,1391.161,9.621,4654868730068868057
1432,23,30a.sql,857.955,3682.253,3596309516107956315
1433,23,30b.sql,217.12,4209.025,2619358356542170316
1434,23,30c.sql,2870.345,3736.632,-5261930549591539248
1435,23,31a.sql,806.118,458.311,1975084072464202139
1436,23,31b.sql,80.128,424.459,8637167297044090375
1437,23,31c.sql,481.098,423.505,-8047523329439800675
1438,23,32a.sql,26.905,19.71,-8152767229854360977
1439,23,32b.sql,389.319,17.648,-8152767229854360977
1440,23,33a.sql,80.2,4296.639,1264440547233771903
1441,23,33b.sql,66.079,3932.52,5283902462801916534
1442,23,33c.sql,64.66,4072.512,7696886476226925320
1443,23,3a.sql,281.109,11.472,-4964681019064054343
1444,23,3b.sql,166.696,10.239,2686551532437100503
1445,23,3c.sql,489.235,11.264,-4267429084482334961
1446,23,4a.sql,182.381,11.582,-6925252347296079652
1447,23,4b.sql,159.769,11.201,-6925252347296079652
1448,23,4c.sql,275.966,11.3,-6925252347296079652
1449,23,5a.sql,598.976,14.437,-4875630082272532892
1450,23,5b.sql,509.214,13.734,7799030661291734910
1451,23,5c.sql,643.358,13.761,6287524160215096911
1452,23,6a.sql,52.643,10.787,-1270565685357017756
1453,23,6b.sql,330.472,11.502,5330016273682105912
1454,23,6c.sql,26.872,10.639,-1270565685357017756
1455,23,6d.sql,6456.845,11.907,5330016273682105912
1456,23,6e.sql,45.172,11.847,-1270565685357017756
1457,23,6f.sql,5985.27,10.967,9034840740838305022
1458,23,7a.sql,1967.257,67.699,5731597360962035638
1459,23,7b.sql,391.962,58.537,-5119135715290730827
1460,23,7c.sql,5758.792,72.052,-767513669091434600
1461,23,8a.sql,3148.648,38.731,-5383241493793754728
1462,23,8b.sql,283.492,40.289,-7648844854832005228
1463,23,8c.sql,14176.892,28.544,7828965998619474049
1464,23,8d.sql,6233.518,29.77,7828965998619474049
1465,23,9a.sql,1054.417,73.716,9182348733289197053
1466,23,9b.sql,4052.705,71.428,759743340442407318
1467,23,9c.sql,2027.268,66.313,-3495764495604230484
1468,23,9d.sql,12339.819,62.017,-3970444003182879231
