Query Number,Query Name,Execution Time,Plan time,Query hash
5,10a.sql,281.492,24.769,-4409698924550295459
5,10b.sql,111.552,23.095,2327673058233797615
5,10c.sql,10782.904,21.883,8860988427713565746
5,11a.sql,51.162,51.088,-8745628810626288278
5,11b.sql,22.657,50.101,-9046130082131908017
5,11c.sql,183.086,46.558,754561138292963678
5,11d.sql,189.187,46.947,-8853227751184510813
5,12a.sql,265.503,49.482,9049250486687881135
5,12b.sql,134.252,45.548,7111231359014454640
5,12c.sql,1067.960,50.286,5327500320564300865
5,13a.sql,741.085,66.965,6101368897808108968
5,13b.sql,554.973,75.439,7105818783943848525
5,13c.sql,479.006,75.039,7105818783943848525
5,13d.sql,3124.389,67.984,-5885625972757298871
5,14a.sql,314.844,48.403,-6310738669154799660
5,14b.sql,222.975,49.119,7430954541387508965
5,14c.sql,528.648,47.450,-8051795807640054913
5,15a.sql,513.621,114.654,1799237188439200003
5,15b.sql,37.108,116.777,-6016190586237425744
5,15c.sql,2227.354,112.231,-640293413413794320
5,15d.sql,2197.439,105.121,4581372305138760671
5,16a.sql,439.196,46.549,-1158816798049620833
5,16b.sql,11326.939,42.898,-2478965080048270031
5,16c.sql,2926.622,44.588,-5535901023995551278
5,16d.sql,3615.095,46.141,-1158816798049620833
5,17a.sql,5790.222,24.932,6019781246931083125
5,17b.sql,3572.549,26.038,7687882978329045374
5,17c.sql,3389.728,26.428,7687882978329045374
5,17d.sql,3507.910,26.613,-3809785603362132151
5,17e.sql,11245.075,27.133,-2972937597942960473
5,17f.sql,7659.919,37.563,-3809785603362132151
5,18a.sql,783.895,29.563,-8570358269772166685
5,18b.sql,294.729,34.829,-1890080522291186125
5,18c.sql,6473.123,32.626,4621617272025517643
5,19a.sql,443.948,245.914,3261834294741233279
5,19b.sql,263.209,214.204,7204209839780818952
5,19c.sql,737.921,209.852,-7738028735347059107
5,19d.sql,9544.381,204.797,5267282279652319986
5,1a.sql,173.857,10.717,-8455555668018032942
5,1b.sql,134.565,9.906,-5913694868169903349
5,1c.sql,138.145,10.327,4846285409507673210
5,1d.sql,133.104,9.507,-4294522389920564102
5,20a.sql,2346.585,127.489,3042830198267909074
5,20b.sql,905.107,125.690,-3458609441065762063
5,20c.sql,575.523,122.959,2558748867405111050
5,21a.sql,42.854,119.720,-1630088287367505151
5,21b.sql,51.013,117.755,6350469962105744477
5,21c.sql,44.484,117.330,2684397743657735043
5,22a.sql,407.170,305.030,-8852217324911197084
5,22b.sql,306.595,308.650,-8852217324911197084
5,22c.sql,672.945,300.175,3330700635734281186
5,22d.sql,639.680,296.912,8297872767581952856
5,23a.sql,139.410,270.705,1619127084338010792
5,23b.sql,48.812,277.477,-5259407748332317606
5,23c.sql,223.150,278.286,-1124127336827367041
5,24a.sql,251.862,3521.714,2280384413821366706
5,24b.sql,88.919,3474.979,-1794083932540499185
5,25a.sql,2016.926,101.256,-4626995031345076698
5,25b.sql,303.632,104.257,-4110854689441581467
5,25c.sql,4836.187,104.669,-6027221776095257325
5,26a.sql,591.505,2883.340,-5929401182124901517
5,26b.sql,187.825,2806.389,8502155271907567164
5,26c.sql,586.765,2656.970,-7624179224219018171
5,27a.sql,42.414,3109.396,1758072863970875987
5,27b.sql,172.710,3168.033,-5510733515476627148
5,27c.sql,47.053,3330.423,-4477816371804978596
5,28a.sql,227.426,4766.292,4245832029459036970
5,28b.sql,223.680,4747.823,-565328161990619398
5,28c.sql,344.879,4677.641,-808880556807194591
5,29a.sql,82.164,7183.266,-2799995183862506353
5,29b.sql,27.222,6845.910,-1912819773082406463
5,29c.sql,214.492,6276.758,6650214460147150979
5,2a.sql,905.558,10.299,4654868730068868057
5,2b.sql,702.983,11.428,4654868730068868057
5,2c.sql,28.624,10.041,4654868730068868057
5,2d.sql,1245.215,9.194,4654868730068868057
5,30a.sql,429.675,3612.416,3596309516107956315
5,30b.sql,114.701,3891.343,2619358356542170316
5,30c.sql,1272.319,3374.565,-5261930549591539248
5,31a.sql,248.904,374.616,1975084072464202139
5,31b.sql,50.411,372.185,8637167297044090375
5,31c.sql,305.439,372.531,-8047523329439800675
5,32a.sql,19.911,17.353,-8152767229854360977
5,32b.sql,327.220,15.059,-8152767229854360977
5,33a.sql,41.759,3779.425,1264440547233771903
5,33b.sql,34.281,3692.047,5283902462801916534
5,33c.sql,39.185,3659.382,7696886476226925320
5,3a.sql,257.011,10.121,-4964681019064054343
5,3b.sql,134.084,8.895,2686551532437100503
5,3c.sql,458.724,9.660,-4267429084482334961
5,4a.sql,140.570,9.489,-6925252347296079652
5,4b.sql,136.011,9.760,-6925252347296079652
5,4c.sql,223.384,9.553,-6925252347296079652
5,5a.sql,287.603,11.551,-4875630082272532892
5,5b.sql,223.130,11.665,7799030661291734910
5,5c.sql,282.865,12.793,6287524160215096911
5,6a.sql,40.562,9.406,-1270565685357017756
5,6b.sql,206.847,9.761,5330016273682105912
