Query Number,Query Name,Execution Time,Plan time,Query hash
2,10a.sql,289.586,28.208,-4409698924550295459
2,10b.sql,135.690,25.630,2327673058233797615
2,10c.sql,11117.272,30.787,8860988427713565746
2,11a.sql,61.747,52.475,-8745628810626288278
2,11b.sql,33.588,52.213,-9046130082131908017
2,11c.sql,228.788,49.229,754561138292963678
2,11d.sql,198.308,47.274,-8853227751184510813
2,12a.sql,302.973,52.709,9049250486687881135
2,12b.sql,148.072,47.206,7111231359014454640
2,12c.sql,1262.705,50.940,5327500320564300865
2,13a.sql,787.389,70.885,6101368897808108968
2,13b.sql,603.996,79.424,7105818783943848525
2,13c.sql,500.059,76.564,7105818783943848525
2,13d.sql,3429.195,70.882,-5885625972757298871
2,14a.sql,320.540,49.697,-6310738669154799660
2,14b.sql,231.248,50.776,7430954541387508965
2,14c.sql,527.610,48.534,-8051795807640054913
2,15a.sql,538.378,122.369,1799237188439200003
2,15b.sql,45.264,121.599,-6016190586237425744
2,15c.sql,2634.974,111.815,-640293413413794320
2,15d.sql,2439.766,121.153,4581372305138760671
2,16a.sql,485.213,49.298,-1158816798049620833
2,16b.sql,13565.295,46.014,-2478965080048270031
2,16c.sql,3166.218,49.949,-5535901023995551278
2,16d.sql,4108.997,48.856,-1158816798049620833
2,17a.sql,6580.419,26.625,6019781246931083125
2,17b.sql,3845.427,26.967,7687882978329045374
2,17c.sql,3480.694,25.159,7687882978329045374
2,17d.sql,3930.001,28.443,-3809785603362132151
2,17e.sql,10430.848,27.567,-2972937597942960473
2,17f.sql,7679.933,27.327,-3809785603362132151
2,18a.sql,858.130,30.114,-8570358269772166685
2,18b.sql,289.793,33.861,-1890080522291186125
2,18c.sql,6493.701,32.267,4621617272025517643
2,19a.sql,488.521,248.977,3261834294741233279
2,19b.sql,276.030,218.839,7204209839780818952
2,19c.sql,910.302,219.730,-7738028735347059107
2,19d.sql,9816.383,209.626,5267282279652319986
2,1a.sql,151.547,10.163,-8455555668018032942
2,1b.sql,143.686,10.123,-5913694868169903349
2,1c.sql,146.587,10.450,4846285409507673210
2,1d.sql,146.772,10.002,-4294522389920564102
2,20a.sql,2147.073,133.971,3042830198267909074
2,20b.sql,932.432,132.794,-3458609441065762063
2,20c.sql,593.941,129.914,2558748867405111050
2,21a.sql,59.870,117.827,-1630088287367505151
