Query Number,Query Name,Execution Time,Plan time,Query hash
6,10a.sql,253.157,23.809,-4409698924550295459
6,10b.sql,118.975,23.078,2327673058233797615
6,10c.sql,10930.702,21.791,8860988427713565746
6,11a.sql,67.245,56.058,-8745628810626288278
6,11b.sql,34.706,52.474,-9046130082131908017
6,11c.sql,215.056,50.577,754561138292963678
6,11d.sql,267.917,51.500,-8853227751184510813
6,12a.sql,329.574,55.584,9049250486687881135
6,12b.sql,158.877,51.567,7111231359014454640
6,12c.sql,1617.179,56.620,5327500320564300865
6,13a.sql,937.322,71.467,6101368897808108968
6,13b.sql,613.019,79.260,7105818783943848525
6,13c.sql,512.713,81.935,7105818783943848525
6,13d.sql,3730.744,70.711,-5885625972757298871
6,14a.sql,341.737,52.209,-6310738669154799660
6,14b.sql,231.343,52.571,7430954541387508965
6,14c.sql,533.795,56.248,-8051795807640054913
6,15a.sql,583.348,118.265,1799237188439200003
6,15b.sql,43.669,138.551,-6016190586237425744
6,15c.sql,2542.120,112.627,-640293413413794320
6,15d.sql,2385.197,108.655,4581372305138760671
6,16a.sql,472.982,48.519,-1158816798049620833
6,16b.sql,12626.996,45.126,-2478965080048270031
6,16c.sql,3058.966,47.700,-5535901023995551278
6,16d.sql,3617.551,46.501,-1158816798049620833
6,17a.sql,5974.160,24.485,6019781246931083125
6,17b.sql,3283.008,26.567,7687882978329045374
6,17c.sql,3072.717,24.862,7687882978329045374
6,17d.sql,3259.727,27.500,-3809785603362132151
6,17e.sql,9692.512,25.085,-2972937597942960473
6,17f.sql,6698.757,23.803,-3809785603362132151
6,18a.sql,792.849,27.617,-8570358269772166685
6,18b.sql,254.164,32.941,-1890080522291186125
6,18c.sql,5782.983,29.815,4621617272025517643
6,19a.sql,424.604,241.414,3261834294741233279
6,19b.sql,243.981,210.186,7204209839780818952
6,19c.sql,780.589,213.220,-7738028735347059107
6,19d.sql,9643.022,191.808,5267282279652319986
6,1a.sql,157.849,10.703,-8455555668018032942
6,1b.sql,141.614,9.592,-5913694868169903349
6,1c.sql,146.323,10.378,4846285409507673210
6,1d.sql,138.069,9.498,-4294522389920564102
6,20a.sql,2518.743,128.086,3042830198267909074
6,20b.sql,924.968,131.696,-3458609441065762063
6,20c.sql,551.543,124.939,2558748867405111050
6,21a.sql,48.757,120.697,-1630088287367505151
6,21b.sql,57.018,119.134,6350469962105744477
6,21c.sql,51.934,119.312,2684397743657735043
6,22a.sql,438.620,315.096,-8852217324911197084
6,22b.sql,343.606,304.744,-8852217324911197084
6,22c.sql,679.954,307.636,3330700635734281186
6,22d.sql,685.839,292.095,8297872767581952856
6,23a.sql,162.707,291.927,1619127084338010792
6,23b.sql,68.158,280.907,-5259407748332317606
6,23c.sql,243.444,286.437,-1124127336827367041
6,24a.sql,249.118,3231.976,2280384413821366706
6,24b.sql,112.736,3491.102,-1794083932540499185
6,25a.sql,1700.732,103.708,-4626995031345076698
6,25b.sql,323.980,108.249,-4110854689441581467
6,25c.sql,4869.452,109.663,-6027221776095257325
6,26a.sql,280.977,2912.728,-5929401182124901517
6,26b.sql,304.017,2748.222,8502155271907567164
