Query Number,Query Name,Execution Time,Plan time,Query hash
9,10a.sql,232.884,24.338,-4409698924550295459
9,10b.sql,118.337,23.256,2327673058233797615
9,10c.sql,10851.031,21.780,8860988427713565746
9,11a.sql,44.517,51.594,-8745628810626288278
9,11b.sql,23.315,51.251,-9046130082131908017
9,11c.sql,192.353,47.238,754561138292963678
9,11d.sql,189.970,46.438,-8853227751184510813
9,12a.sql,264.938,50.558,9049250486687881135
9,12b.sql,134.356,45.874,7111231359014454640
9,12c.sql,1102.361,51.049,5327500320564300865
9,13a.sql,763.540,68.426,6101368897808108968
9,13b.sql,579.742,77.119,7105818783943848525
9,13c.sql,470.723,78.055,7105818783943848525
9,13d.sql,3204.801,69.216,-5885625972757298871
9,14a.sql,303.835,47.726,-6310738669154799660
9,14b.sql,225.656,51.244,7430954541387508965
9,14c.sql,518.560,47.648,-8051795807640054913
9,15a.sql,505.941,118.995,1799237188439200003
9,15b.sql,41.479,118.239,-6016190586237425744
9,15c.sql,2347.562,110.728,-640293413413794320
9,15d.sql,2213.153,108.058,4581372305138760671
9,16a.sql,437.452,47.664,-1158816798049620833
9,16b.sql,11652.948,43.600,-2478965080048270031
9,16c.sql,2953.948,46.034,-5535901023995551278
9,16d.sql,3795.308,46.101,-1158816798049620833
9,17a.sql,5829.922,26.545,6019781246931083125
9,17b.sql,3614.776,24.633,7687882978329045374
9,17c.sql,3141.657,23.950,7687882978329045374
9,17d.sql,3398.336,24.808,-3809785603362132151
9,17e.sql,10198.124,28.122,-2972937597942960473
9,17f.sql,7333.732,26.318,-3809785603362132151
9,18a.sql,746.621,31.523,-8570358269772166685
9,18b.sql,270.669,33.208,-1890080522291186125
9,18c.sql,6055.215,31.130,4621617272025517643
9,19a.sql,417.208,233.603,3261834294741233279
9,19b.sql,253.915,211.545,7204209839780818952
9,19c.sql,706.302,205.060,-7738028735347059107
9,19d.sql,9387.979,188.476,5267282279652319986
9,1a.sql,150.784,10.730,-8455555668018032942
