Query Number,Query Name,Execution Time,Plan time,Query hash
5,10a.sql,243.391,13.081,-4409698924550295459
5,10b.sql,124.427,11.890,2327673058233797615
5,10c.sql,10677.399,10.658,8860988427713565746
5,11a.sql,99.284,25.127,-8745628810626288278
5,11b.sql,25.380,24.182,-9046130082131908017
5,11c.sql,292.045,25.259,754561138292963678
5,11d.sql,223.961,29.900,-8853227751184510813
5,12a.sql,330.138,24.389,9049250486687881135
5,12b.sql,154.705,23.399,7111231359014454640
5,12c.sql,1460.984,21.923,5327500320564300865
5,13a.sql,2924.213,34.158,6101368897808108968
5,13b.sql,1153.575,30.833,7105818783943848525
5,13c.sql,1204.657,34.039,7105818783943848525
5,13d.sql,11154.391,31.109,-5885625972757298871
5,14a.sql,340.476,21.923,-6310738669154799660
5,14b.sql,228.832,19.328,7430954541387508965
5,14c.sql,561.201,20.452,-8051795807640054913
5,15a.sql,562.900,56.869,1799237188439200003
5,15b.sql,36.012,52.160,-6016190586237425744
5,15c.sql,1992.174,55.918,-640293413413794320
5,15d.sql,2253.017,56.330,4581372305138760671
5,16a.sql,478.105,25.274,-1158816798049620833
5,16b.sql,51505.361,23.691,-2478965080048270031
5,16c.sql,4676.220,24.307,-5535901023995551278
5,16d.sql,3661.682,27.542,-1158816798049620833
5,17a.sql,30513.908,13.914,6019781246931083125
5,17b.sql,13100.158,13.901,7687882978329045374
5,17c.sql,12093.463,16.646,7687882978329045374
5,17d.sql,12205.902,16.716,-3809785603362132151
5,17e.sql,30757.442,14.269,-2972937597942960473
5,17f.sql,22079.547,14.194,-3809785603362132151
5,18a.sql,5118.957,13.649,-8570358269772166685
5,18b.sql,264.325,12.904,-1890080522291186125
5,18c.sql,5152.439,13.301,4621617272025517643
5,19a.sql,4546.117,80.298,3261834294741233279
5,19b.sql,683.077,61.545,7204209839780818952
5,19c.sql,721.172,89.289,-7738028735347059107
5,19d.sql,24383.801,79.825,5267282279652319986
5,1a.sql,156.676,5.645,-8455555668018032942
5,1b.sql,135.508,5.281,-5913694868169903349
5,1c.sql,150.072,5.425,4846285409507673210
5,1d.sql,136.415,5.185,-4294522389920564102
5,20a.sql,3395.096,53.489,3042830198267909074
5,20b.sql,1634.188,50.601,-3458609441065762063
5,20c.sql,1041.459,54.995,2558748867405111050
5,21a.sql,237.664,53.755,-1630088287367505151
5,21b.sql,52.093,53.188,6350469962105744477
5,21c.sql,100.540,55.515,2684397743657735043
5,22a.sql,655.774,120.880,-8852217324911197084
5,22b.sql,334.914,115.372,-8852217324911197084
5,22c.sql,2285.497,116.566,3330700635734281186
5,22d.sql,4506.155,134.090,8297872767581952856
5,23a.sql,165.506,129.994,1619127084338010792
5,23b.sql,72.881,123.128,-5259407748332317606
5,23c.sql,261.137,131.070,-1124127336827367041
5,24a.sql,311.574,271.995,2280384413821366706
5,24b.sql,220.731,252.834,-1794083932540499185
5,25a.sql,3342.909,45.799,-4626995031345076698
5,25b.sql,328.693,41.495,-4110854689441581467
5,25c.sql,5673.242,43.502,-6027221776095257325
5,26a.sql,1258.861,253.657,-5929401182124901517
5,26b.sql,637.858,244.487,8502155271907567164
5,26c.sql,5132.988,254.075,-7624179224219018171
5,27a.sql,85.886,271.923,1758072863970875987
5,27b.sql,35.842,266.718,-5510733515476627148
5,27c.sql,129.649,280.037,-4477816371804978596
5,28a.sql,1425.569,311.210,4245832029459036970
5,28b.sql,311.011,303.161,-565328161990619398
5,28c.sql,1998.227,304.136,-808880556807194591
5,29a.sql,261.315,363.594,-2799995183862506353
5,29b.sql,28.876,358.735,-1912819773082406463
5,29c.sql,905.721,394.782,6650214460147150979
5,2a.sql,1783.569,6.351,4654868730068868057
5,2b.sql,1741.635,6.288,4654868730068868057
5,2c.sql,1607.175,6.309,4654868730068868057
5,2d.sql,1970.146,5.906,4654868730068868057
5,30a.sql,2017.607,240.652,3596309516107956315
5,30b.sql,423.163,244.199,2619358356542170316
5,30c.sql,2222.730,263.644,-5261930549591539248
5,31a.sql,4895.413,190.224,1975084072464202139
5,31b.sql,394.422,154.833,8637167297044090375
5,31c.sql,7695.029,180.788,-8047523329439800675
5,32a.sql,20.991,11.040,-8152767229854360977
5,32b.sql,354.793,11.007,-8152767229854360977
5,33a.sql,32.042,291.949,1264440547233771903
5,33b.sql,26.461,281.371,5283902462801916534
5,33c.sql,27.062,296.788,7696886476226925320
5,3a.sql,231.288,8.058,-4964681019064054343
5,3b.sql,150.890,7.273,2686551532437100503
5,3c.sql,441.064,7.695,-4267429084482334961
5,4a.sql,204.651,5.986,-6925252347296079652
5,4b.sql,134.728,5.721,-6925252347296079652
5,4c.sql,223.223,5.613,-6925252347296079652
5,5a.sql,267.794,6.960,-4875630082272532892
5,5b.sql,256.008,7.110,7799030661291734910
5,5c.sql,313.994,6.925,6287524160215096911
5,6a.sql,42.333,6.470,-1270565685357017756
5,6b.sql,240.706,6.218,5330016273682105912
5,6c.sql,20.989,6.480,-1270565685357017756
5,6d.sql,4315.606,6.844,5330016273682105912
5,6e.sql,37.189,6.239,-1270565685357017756
5,6f.sql,4279.523,6.164,9034840740838305022
5,7a.sql,698.346,26.995,5731597360962035638
5,7b.sql,248.387,24.900,-5119135715290730827
5,7c.sql,5238.040,28.111,-767513669091434600
5,8a.sql,1353.540,14.314,-5383241493793754728
5,8b.sql,169.501,14.028,-7648844854832005228
5,8c.sql,9693.443,13.886,7828965998619474049
5,8d.sql,3383.098,14.279,7828965998619474049
5,9a.sql,4805.117,24.312,9182348733289197053
5,9b.sql,1536.611,21.830,759743340442407318
5,9c.sql,833.773,23.327,-3495764495604230484
5,9d.sql,12026.341,24.381,-3970444003182879231
