Query Number,Query Name,Execution Time,Plan time,Query hash
9,10a.sql,268.315,12.057,-4409698924550295459
9,10b.sql,122.162,11.103,2327673058233797615
9,10c.sql,10159.567,10.569,8860988427713565746
9,11a.sql,87.936,24.178,-8745628810626288278
9,11b.sql,22.454,22.598,-9046130082131908017
9,11c.sql,270.803,24.768,754561138292963678
9,11d.sql,203.126,25.081,-8853227751184510813
9,12a.sql,272.766,20.548,9049250486687881135
9,12b.sql,138.348,20.987,7111231359014454640
9,12c.sql,1268.640,20.486,5327500320564300865
9,13a.sql,2785.593,31.130,6101368897808108968
9,13b.sql,1127.050,32.791,7105818783943848525
9,13c.sql,1108.683,32.735,7105818783943848525
9,13d.sql,10649.765,31.288,-5885625972757298871
9,14a.sql,363.377,21.576,-6310738669154799660
9,14b.sql,241.778,19.969,7430954541387508965
9,14c.sql,568.497,20.778,-8051795807640054913
9,15a.sql,620.137,59.037,1799237188439200003
9,15b.sql,38.911,54.719,-6016190586237425744
9,15c.sql,2205.324,56.057,-640293413413794320
9,15d.sql,2333.497,58.689,4581372305138760671
9,16a.sql,473.704,25.634,-1158816798049620833
9,16b.sql,54795.211,23.944,-2478965080048270031
9,16c.sql,5395.484,32.012,-5535901023995551278
9,16d.sql,3711.203,27.273,-1158816798049620833
9,17a.sql,31233.957,14.266,6019781246931083125
9,17b.sql,14061.967,15.621,7687882978329045374
9,17c.sql,12071.539,15.539,7687882978329045374
9,17d.sql,12385.740,16.465,-3809785603362132151
9,17e.sql,30489.591,14.294,-2972937597942960473
9,17f.sql,21470.069,16.493,-3809785603362132151
9,18a.sql,5203.790,14.009,-8570358269772166685
9,18b.sql,272.678,13.363,-1890080522291186125
9,18c.sql,5254.328,13.298,4621617272025517643
9,19a.sql,4563.103,76.450,3261834294741233279
9,19b.sql,721.416,61.962,7204209839780818952
9,19c.sql,732.825,79.941,-7738028735347059107
9,19d.sql,24445.424,79.728,5267282279652319986
9,1a.sql,163.274,5.913,-8455555668018032942
9,1b.sql,147.692,5.548,-5913694868169903349
9,1c.sql,158.361,5.504,4846285409507673210
9,1d.sql,153.735,5.575,-4294522389920564102
9,20a.sql,3375.242,54.353,3042830198267909074
9,20b.sql,1604.409,49.222,-3458609441065762063
9,20c.sql,1141.700,53.697,2558748867405111050
9,21a.sql,250.200,55.646,-1630088287367505151
9,21b.sql,53.246,54.143,6350469962105744477
9,21c.sql,103.030,55.307,2684397743657735043
9,22a.sql,884.302,122.430,-8852217324911197084
9,22b.sql,348.317,127.343,-8852217324911197084
9,22c.sql,2401.769,132.180,3330700635734281186
9,22d.sql,4415.078,133.613,8297872767581952856
9,23a.sql,155.561,121.756,1619127084338010792
9,23b.sql,69.582,115.356,-5259407748332317606
9,23c.sql,248.511,120.228,-1124127336827367041
9,24a.sql,326.473,254.227,2280384413821366706
9,24b.sql,210.629,228.290,-1794083932540499185
9,25a.sql,3387.058,43.492,-4626995031345076698
9,25b.sql,269.542,40.728,-4110854689441581467
9,25c.sql,5593.021,44.453,-6027221776095257325
9,26a.sql,1159.473,235.057,-5929401182124901517
9,26b.sql,618.755,229.538,8502155271907567164
9,26c.sql,5147.893,237.527,-7624179224219018171
9,27a.sql,88.962,249.244,1758072863970875987
9,27b.sql,36.716,277.872,-5510733515476627148
9,27c.sql,136.691,288.316,-4477816371804978596
9,28a.sql,1322.115,292.223,4245832029459036970
9,28b.sql,285.985,281.624,-565328161990619398
9,28c.sql,1895.748,288.714,-808880556807194591
9,29a.sql,253.739,333.405,-2799995183862506353
9,29b.sql,29.668,324.026,-1912819773082406463
9,29c.sql,832.990,360.189,6650214460147150979
9,2a.sql,1697.846,5.851,4654868730068868057
9,2b.sql,1643.132,5.921,4654868730068868057
9,2c.sql,1580.335,5.998,4654868730068868057
9,2d.sql,1979.491,5.870,4654868730068868057
9,30a.sql,1994.075,240.223,3596309516107956315
9,30b.sql,388.096,223.551,2619358356542170316
9,30c.sql,2123.620,239.668,-5261930549591539248
9,31a.sql,4671.041,170.994,1975084072464202139
9,31b.sql,409.794,151.240,8637167297044090375
9,31c.sql,7092.148,162.739,-8047523329439800675
9,32a.sql,17.442,10.938,-8152767229854360977
9,32b.sql,338.958,10.038,-8152767229854360977
9,33a.sql,25.849,270.396,1264440547233771903
9,33b.sql,25.235,258.975,5283902462801916534
9,33c.sql,30.859,277.772,7696886476226925320
9,3a.sql,214.053,7.402,-4964681019064054343
9,3b.sql,145.954,6.794,2686551532437100503
9,3c.sql,418.426,7.451,-4267429084482334961
9,4a.sql,190.489,5.514,-6925252347296079652
9,4b.sql,124.648,5.553,-6925252347296079652
9,4c.sql,210.175,5.545,-6925252347296079652
9,5a.sql,244.327,6.375,-4875630082272532892
9,5b.sql,231.450,6.351,7799030661291734910
9,5c.sql,297.094,6.304,6287524160215096911
9,6a.sql,40.740,6.204,-1270565685357017756
9,6b.sql,197.812,6.372,5330016273682105912
9,6c.sql,18.565,5.797,-1270565685357017756
9,6d.sql,4013.561,6.112,5330016273682105912
9,6e.sql,35.084,5.986,-1270565685357017756
9,6f.sql,4036.115,6.193,9034840740838305022
9,7a.sql,610.119,23.651,5731597360962035638
9,7b.sql,208.767,22.295,-5119135715290730827
