Query Number,Query Name,Execution Time,Plan time,Query hash
14,10a.sql,242.157,12.251,-4409698924550295459
14,10b.sql,128.045,11.916,2327673058233797615
14,10c.sql,10723.317,11.458,8860988427713565746
14,11a.sql,100.911,26.149,-8745628810626288278
14,11b.sql,24.549,24.354,-9046130082131908017
14,11c.sql,298.438,25.878,754561138292963678
14,11d.sql,229.067,27.130,-8853227751184510813
14,12a.sql,358.341,22.489,9049250486687881135
14,12b.sql,149.836,22.741,7111231359014454640
14,12c.sql,1353.425,22.842,5327500320564300865
14,13a.sql,2889.622,32.976,6101368897808108968
14,13b.sql,1194.322,33.538,7105818783943848525
14,13c.sql,1186.839,32.766,7105818783943848525
14,13d.sql,11158.735,34.230,-5885625972757298871
14,14a.sql,393.975,23.024,-6310738669154799660
14,14b.sql,240.523,20.951,7430954541387508965
14,14c.sql,579.497,24.636,-8051795807640054913
14,15a.sql,617.447,57.372,1799237188439200003
14,15b.sql,42.907,58.058,-6016190586237425744
14,15c.sql,2216.295,61.489,-640293413413794320
14,15d.sql,2418.688,60.775,4581372305138760671
14,16a.sql,497.113,27.236,-1158816798049620833
14,16b.sql,57656.525,25.575,-2478965080048270031
14,16c.sql,5032.396,26.368,-5535901023995551278
14,16d.sql,3946.229,24.626,-1158816798049620833
14,17a.sql,32159.805,24.655,6019781246931083125
14,17b.sql,13481.822,14.644,7687882978329045374
14,17c.sql,12846.279,16.232,7687882978329045374
14,17d.sql,13087.362,15.480,-3809785603362132151
14,17e.sql,34538.795,15.520,-2972937597942960473
14,17f.sql,23993.579,15.427,-3809785603362132151
14,18a.sql,5507.125,14.838,-8570358269772166685
14,18b.sql,292.990,14.540,-1890080522291186125
14,18c.sql,5417.163,14.128,4621617272025517643
14,19a.sql,4608.993,83.022,3261834294741233279
14,19b.sql,714.987,61.287,7204209839780818952
14,19c.sql,731.737,87.417,-7738028735347059107
14,19d.sql,25187.685,82.658,5267282279652319986
14,1a.sql,151.049,5.955,-8455555668018032942
14,1b.sql,136.801,5.216,-5913694868169903349
14,1c.sql,142.207,5.496,4846285409507673210
14,1d.sql,137.067,5.715,-4294522389920564102
14,20a.sql,3298.302,49.794,3042830198267909074
14,20b.sql,1656.746,47.817,-3458609441065762063
14,20c.sql,1043.742,50.313,2558748867405111050
14,21a.sql,237.995,56.837,-1630088287367505151
14,21b.sql,55.023,52.815,6350469962105744477
14,21c.sql,99.731,56.402,2684397743657735043
14,22a.sql,752.482,121.040,-8852217324911197084
14,22b.sql,306.970,116.060,-8852217324911197084
14,22c.sql,2242.760,117.917,3330700635734281186
14,22d.sql,4136.302,123.163,8297872767581952856
14,23a.sql,150.303,117.603,1619127084338010792
14,23b.sql,71.780,112.753,-5259407748332317606
14,23c.sql,245.901,115.909,-1124127336827367041
14,24a.sql,305.280,249.918,2280384413821366706
14,24b.sql,197.695,224.144,-1794083932540499185
14,25a.sql,3194.486,42.990,-4626995031345076698
14,25b.sql,313.873,40.653,-4110854689441581467
14,25c.sql,5571.114,43.498,-6027221776095257325
14,26a.sql,1133.806,231.306,-5929401182124901517
14,26b.sql,614.771,225.091,8502155271907567164
14,26c.sql,4846.805,235.922,-7624179224219018171
14,27a.sql,83.999,246.515,1758072863970875987
14,27b.sql,33.361,241.513,-5510733515476627148
14,27c.sql,122.673,254.481,-4477816371804978596
14,28a.sql,1295.273,284.405,4245832029459036970
14,28b.sql,276.979,277.056,-565328161990619398
14,28c.sql,1840.627,281.968,-808880556807194591
14,29a.sql,255.184,332.442,-2799995183862506353
14,29b.sql,26.567,321.000,-1912819773082406463
14,29c.sql,869.686,354.439,6650214460147150979
14,2a.sql,1655.832,6.094,4654868730068868057
14,2b.sql,1593.802,5.776,4654868730068868057
14,2c.sql,1542.268,5.701,4654868730068868057
14,2d.sql,1929.436,5.968,4654868730068868057
14,30a.sql,1917.187,236.266,3596309516107956315
14,30b.sql,378.760,224.462,2619358356542170316
14,30c.sql,1953.504,236.751,-5261930549591539248
14,31a.sql,4360.717,178.412,1975084072464202139
14,31b.sql,362.733,141.507,8637167297044090375
14,31c.sql,7229.828,163.609,-8047523329439800675
14,32a.sql,18.415,11.320,-8152767229854360977
14,32b.sql,342.474,10.017,-8152767229854360977
14,33a.sql,25.294,266.746,1264440547233771903
14,33b.sql,24.846,259.542,5283902462801916534
14,33c.sql,25.424,277.702,7696886476226925320
14,3a.sql,214.356,7.393,-4964681019064054343
14,3b.sql,143.356,6.687,2686551532437100503
14,3c.sql,406.134,7.304,-4267429084482334961
14,4a.sql,187.078,5.559,-6925252347296079652
14,4b.sql,123.135,5.418,-6925252347296079652
14,4c.sql,211.146,5.524,-6925252347296079652
14,5a.sql,250.938,6.348,-4875630082272532892
14,5b.sql,230.493,6.270,7799030661291734910
14,5c.sql,286.534,6.379,6287524160215096911
14,6a.sql,37.829,5.825,-1270565685357017756
14,6b.sql,220.585,6.041,5330016273682105912
14,6c.sql,18.732,5.813,-1270565685357017756
14,6d.sql,3772.068,6.128,5330016273682105912
14,6e.sql,35.757,5.943,-1270565685357017756
14,6f.sql,3977.181,6.335,9034840740838305022
14,7a.sql,1006.846,25.427,5731597360962035638
14,7b.sql,255.711,25.247,-5119135715290730827
14,7c.sql,5551.526,29.434,-767513669091434600
14,8a.sql,1517.267,15.484,-5383241493793754728
14,8b.sql,164.603,14.130,-7648844854832005228
14,8c.sql,9037.562,14.384,7828965998619474049
14,8d.sql,3378.838,15.114,7828965998619474049
14,9a.sql,4414.386,24.333,9182348733289197053
14,9b.sql,1657.532,23.392,759743340442407318
14,9c.sql,1105.858,25.143,-3495764495604230484
14,9d.sql,11596.719,24.133,-3970444003182879231
