Query Number,Query Name,Execution Time,Plan time,Query hash
13,10a.sql,253.998,11.093,-4409698924550295459
13,10b.sql,122.169,10.900,2327673058233797615
13,10c.sql,10205.674,10.534,8860988427713565746
13,11a.sql,93.246,24.504,-8745628810626288278
13,11b.sql,22.798,22.809,-9046130082131908017
13,11c.sql,263.379,25.812,754561138292963678
13,11d.sql,209.679,25.848,-8853227751184510813
13,12a.sql,271.202,20.871,9049250486687881135
13,12b.sql,138.141,20.888,7111231359014454640
13,12c.sql,1006.749,21.341,5327500320564300865
13,13a.sql,2680.676,30.309,6101368897808108968
13,13b.sql,1112.373,31.559,7105818783943848525
13,13c.sql,1096.156,30.826,7105818783943848525
13,13d.sql,10413.775,30.663,-5885625972757298871
13,14a.sql,349.515,20.656,-6310738669154799660
13,14b.sql,235.620,20.960,7430954541387508965
13,14c.sql,578.558,20.799,-8051795807640054913
13,15a.sql,563.322,54.321,1799237188439200003
13,15b.sql,39.304,51.972,-6016190586237425744
13,15c.sql,2036.329,56.156,-640293413413794320
13,15d.sql,2285.661,58.057,4581372305138760671
13,16a.sql,493.433,24.658,-1158816798049620833
13,16b.sql,52139.552,24.525,-2478965080048270031
13,16c.sql,4681.405,24.663,-5535901023995551278
13,16d.sql,3742.133,26.066,-1158816798049620833
13,17a.sql,32042.028,14.612,6019781246931083125
13,17b.sql,14031.708,16.496,7687882978329045374
13,17c.sql,13442.953,15.133,7687882978329045374
13,17d.sql,13456.512,14.359,-3809785603362132151
13,17e.sql,31966.729,15.650,-2972937597942960473
13,17f.sql,22640.150,16.106,-3809785603362132151
13,18a.sql,5821.992,15.588,-8570358269772166685
13,18b.sql,323.026,16.268,-1890080522291186125
13,18c.sql,6076.514,16.149,4621617272025517643
13,19a.sql,5253.368,94.372,3261834294741233279
13,19b.sql,783.888,71.816,7204209839780818952
13,19c.sql,855.351,87.859,-7738028735347059107
13,19d.sql,24561.119,95.038,5267282279652319986
13,1a.sql,154.343,5.835,-8455555668018032942
13,1b.sql,139.033,5.291,-5913694868169903349
13,1c.sql,145.185,5.393,4846285409507673210
13,1d.sql,139.060,5.578,-4294522389920564102
13,20a.sql,3531.079,55.462,3042830198267909074
13,20b.sql,1757.968,46.169,-3458609441065762063
13,20c.sql,1099.787,50.909,2558748867405111050
13,21a.sql,236.600,54.144,-1630088287367505151
13,21b.sql,54.433,53.846,6350469962105744477
13,21c.sql,99.895,53.729,2684397743657735043
