Query Number,Query Name,Execution Time,Plan time,Query hash
12,10a.sql,273.420,11.926,-4409698924550295459
12,10b.sql,132.312,11.607,2327673058233797615
12,10c.sql,10952.313,11.690,8860988427713565746
12,11a.sql,105.373,27.891,-8745628810626288278
12,11b.sql,25.036,25.241,-9046130082131908017
12,11c.sql,303.720,28.468,754561138292963678
12,11d.sql,226.063,27.901,-8853227751184510813
12,12a.sql,314.745,22.225,9049250486687881135
12,12b.sql,148.802,22.619,7111231359014454640
12,12c.sql,1113.886,23.003,5327500320564300865
12,13a.sql,2724.886,31.245,6101368897808108968
12,13b.sql,1231.133,32.223,7105818783943848525
12,13c.sql,1239.113,35.423,7105818783943848525
12,13d.sql,10853.695,35.654,-5885625972757298871
12,14a.sql,347.955,20.430,-6310738669154799660
12,14b.sql,250.879,21.417,7430954541387508965
12,14c.sql,609.090,22.275,-8051795807640054913
12,15a.sql,660.150,60.672,1799237188439200003
12,15b.sql,42.655,59.723,-6016190586237425744
12,15c.sql,2322.371,61.890,-640293413413794320
12,15d.sql,2459.204,61.768,4581372305138760671
12,16a.sql,458.961,24.316,-1158816798049620833
12,16b.sql,53279.194,25.220,-2478965080048270031
12,16c.sql,5071.647,29.035,-5535901023995551278
12,16d.sql,4166.628,30.113,-1158816798049620833
12,17a.sql,32185.134,15.380,6019781246931083125
12,17b.sql,13617.902,13.977,7687882978329045374
12,17c.sql,12338.520,16.684,7687882978329045374
12,17d.sql,12073.998,16.616,-3809785603362132151
12,17e.sql,30308.270,13.847,-2972937597942960473
12,17f.sql,22993.645,15.660,-3809785603362132151
12,18a.sql,5342.848,15.618,-8570358269772166685
12,18b.sql,269.493,12.812,-1890080522291186125
12,18c.sql,5297.742,13.186,4621617272025517643
12,19a.sql,4607.228,78.523,3261834294741233279
12,19b.sql,730.739,64.791,7204209839780818952
12,19c.sql,741.803,78.896,-7738028735347059107
12,19d.sql,24115.982,79.924,5267282279652319986
12,1a.sql,154.367,5.785,-8455555668018032942
12,1b.sql,135.100,5.194,-5913694868169903349
12,1c.sql,142.875,5.345,4846285409507673210
12,1d.sql,136.026,5.228,-4294522389920564102
12,20a.sql,3215.386,48.662,3042830198267909074
12,20b.sql,1687.898,46.171,-3458609441065762063
12,20c.sql,1250.201,52.586,2558748867405111050
12,21a.sql,348.533,78.012,-1630088287367505151
12,21b.sql,63.146,59.858,6350469962105744477
12,21c.sql,121.670,61.483,2684397743657735043
12,22a.sql,868.432,134.212,-8852217324911197084
12,22b.sql,336.883,130.765,-8852217324911197084
12,22c.sql,2499.930,124.696,3330700635734281186
12,22d.sql,4272.523,128.798,8297872767581952856
12,23a.sql,162.385,123.935,1619127084338010792
12,23b.sql,84.881,118.420,-5259407748332317606
12,23c.sql,261.859,121.217,-1124127336827367041
12,24a.sql,331.588,254.703,2280384413821366706
12,24b.sql,217.465,230.978,-1794083932540499185
12,25a.sql,4011.979,50.084,-4626995031345076698
12,25b.sql,378.476,47.329,-4110854689441581467
12,25c.sql,5864.321,50.934,-6027221776095257325
12,26a.sql,1195.584,231.712,-5929401182124901517
12,26b.sql,629.798,224.533,8502155271907567164
12,26c.sql,4999.442,235.599,-7624179224219018171
12,27a.sql,90.173,260.456,1758072863970875987
12,27b.sql,34.008,251.086,-5510733515476627148
12,27c.sql,128.589,261.824,-4477816371804978596
12,28a.sql,1366.503,295.777,4245832029459036970
12,28b.sql,278.184,283.670,-565328161990619398
12,28c.sql,1922.869,283.372,-808880556807194591
12,29a.sql,262.472,346.601,-2799995183862506353
12,29b.sql,27.937,334.741,-1912819773082406463
12,29c.sql,920.714,387.681,6650214460147150979
12,2a.sql,1857.167,6.902,4654868730068868057
12,2b.sql,1718.920,6.051,4654868730068868057
12,2c.sql,1651.626,5.990,4654868730068868057
12,2d.sql,2046.764,6.202,4654868730068868057
12,30a.sql,2158.309,236.389,3596309516107956315
12,30b.sql,428.399,223.827,2619358356542170316
12,30c.sql,2210.949,254.310,-5261930549591539248
12,31a.sql,4885.900,190.457,1975084072464202139
12,31b.sql,418.344,152.120,8637167297044090375
12,31c.sql,7343.894,173.343,-8047523329439800675
12,32a.sql,17.344,11.427,-8152767229854360977
12,32b.sql,350.696,10.368,-8152767229854360977
12,33a.sql,26.680,271.159,1264440547233771903
12,33b.sql,27.032,259.601,5283902462801916534
12,33c.sql,25.876,280.173,7696886476226925320
12,3a.sql,217.527,7.473,-4964681019064054343
12,3b.sql,145.458,6.815,2686551532437100503
12,3c.sql,409.215,7.309,-4267429084482334961
12,4a.sql,209.932,5.546,-6925252347296079652
12,4b.sql,126.877,5.578,-6925252347296079652
12,4c.sql,232.133,6.238,-6925252347296079652
12,5a.sql,281.480,7.196,-4875630082272532892
12,5b.sql,259.528,6.913,7799030661291734910
12,5c.sql,323.557,7.328,6287524160215096911
12,6a.sql,46.980,6.769,-1270565685357017756
12,6b.sql,252.772,7.022,5330016273682105912
12,6c.sql,19.157,6.420,-1270565685357017756
12,6d.sql,4166.736,7.335,5330016273682105912
12,6e.sql,35.972,6.204,-1270565685357017756
12,6f.sql,3934.772,6.228,9034840740838305022
12,7a.sql,938.467,24.665,5731597360962035638
12,7b.sql,233.329,23.880,-5119135715290730827
12,7c.sql,5163.584,28.497,-767513669091434600
12,8a.sql,1427.197,14.178,-5383241493793754728
12,8b.sql,158.675,13.080,-7648844854832005228
12,8c.sql,8898.161,13.470,7828965998619474049
12,8d.sql,3134.714,13.587,7828965998619474049
12,9a.sql,5104.894,22.404,9182348733289197053
12,9b.sql,1550.936,22.039,759743340442407318
12,9c.sql,843.891,23.218,-3495764495604230484
