Query Name,Execution Time,Plan time,Query hash
10a.sql,257.605,10.695,-6651533820180303979
10b.sql,122.188,10.785,988535410010893112
10c.sql,9071.259,10.890,2494719406442254794
11a.sql,68.703,23.384,-8754961486292191806
11b.sql,20.213,22.792,7102013096890644952
11c.sql,279.068,25.372,2333270921735776355
11d.sql,179.202,25.069,-5951735317690032369
12a.sql,475.815,20.768,-9026514954839072455
12b.sql,127.199,20.270,5632455736553151255
12c.sql,2020.559,20.175,6417179009749033666
13a.sql,2560.898,28.010,-1829334865866162189
13b.sql,970.073,31.239,4778871310081631647
13c.sql,966.246,28.547,4778871310081631647
13d.sql,9756.923,30.951,2434959201386717317
14a.sql,298.543,20.197,274192810335693858
14b.sql,195.835,21.757,-4506995590541967356
14c.sql,457.688,19.102,299267792258938541
15a.sql,558.664,56.731,-460740518707800565
15b.sql,35.492,49.253,-4209927756710409746
15c.sql,1738.570,50.997,4486446217020337985
15d.sql,1976.758,56.985,-321921298358758659
16a.sql,423.915,25.062,816913887554954199
16b.sql,43923.768,23.234,3350265702090035455
16c.sql,3721.519,24.457,607840843579539521
16d.sql,3028.553,24.162,816913887554954199
17a.sql,25802.439,14.000,-917204397272063480
17b.sql,11133.458,15.299,-5459870143170781696
17c.sql,10573.131,14.328,-5459870143170781696
17d.sql,11404.937,16.431,3199076743843001296
17e.sql,27087.198,16.188,-1944885556475480423
17f.sql,20291.977,17.890,3199076743843001296
18a.sql,4780.596,16.163,-3485514449383768787
18b.sql,254.191,14.578,-2924466581088026648
18c.sql,4669.245,13.348,1168076528610430802
19a.sql,3940.988,74.406,-2080431693778951356
19b.sql,695.143,61.170,-2216088972165640435
19c.sql,710.867,86.156,5068614643165729469
19d.sql,20090.945,79.094,7915967579038312663
1a.sql,153.066,6.856,-1116224040252844741
1b.sql,122.688,5.239,-4074774145614403639
1c.sql,135.824,5.664,946838174961328458
1d.sql,126.234,5.514,-6885312641126422993
20a.sql,4086.118,49.483,-2202723705874175045
20b.sql,1591.649,47.672,-310926232940389306
20c.sql,1094.013,52.562,-6387362809141986757
21a.sql,213.570,58.710,1038524182031953798
21b.sql,50.276,53.430,4184495773567888797
21c.sql,92.175,55.648,-7971004576533452411
22a.sql,589.411,114.910,-7110568913434103698
22b.sql,300.728,118.169,-7110568913434103698
22c.sql,1960.261,116.155,-5949668645089970217
22d.sql,3586.543,126.160,1524343667767028728
23a.sql,152.246,118.430,4445581228366823766
23b.sql,68.762,109.747,-7994933085961275538
23c.sql,226.971,112.857,1076878163750528468
24a.sql,660.345,232.601,6624959997497422723
24b.sql,114.626,213.409,1322643491423167220
25a.sql,1742.278,44.831,-5845388691995996195
25b.sql,319.322,43.267,-4983731566966487840
25c.sql,4958.105,45.861,9105500078934324812
26a.sql,1897.513,214.382,1025902338300761143
26b.sql,564.165,194.187,-3475685009172437784
26c.sql,2481.715,200.873,6841805925482126349
27a.sql,67.129,214.438,-5323664899700589841
27b.sql,32.782,213.721,2103229838344518222
27c.sql,107.030,216.953,-1723239386245354632
28a.sql,1054.852,242.599,-1573023350148659030
28b.sql,778.747,234.908,-3210595597316270705
28c.sql,603.398,240.431,5372730239182956237
29a.sql,52.258,290.942,1693774000992751456
29b.sql,24.840,286.720,-6571914703387389993
29c.sql,348.633,316.153,3549109824785540005
2a.sql,1416.770,6.090,7420183357700622221
2b.sql,1327.116,6.252,7420183357700622221
2c.sql,1252.311,5.852,7420183357700622221
2d.sql,1569.666,5.892,7420183357700622221
30a.sql,595.546,209.430,-6682106289455670140
30b.sql,317.721,189.306,7721649514993682563
30c.sql,4462.526,202.598,-1889760809355916724
31a.sql,3755.819,147.346,7519382914444524780
31b.sql,312.263,130.001,146477119612211947
31c.sql,6227.609,145.314,2399599952233934428
32a.sql,22.443,11.945,6225652705960457954
32b.sql,314.336,10.958,6225652705960457954
33a.sql,34.595,230.617,-3515944407635664271
33b.sql,22.572,221.136,-6846011022746249658
33c.sql,29.623,243.568,-2787191317670660246
3a.sql,188.636,7.491,5539820102114296223
3b.sql,123.154,6.579,2073429154321355728
3c.sql,332.912,7.060,8031722090065659855
4a.sql,164.434,6.221,-1950505845315524548
4b.sql,105.431,5.760,-1950505845315524548
4c.sql,180.462,5.600,-1950505845315524548
5a.sql,224.279,6.421,9106003620751043838
5b.sql,214.464,6.235,-3414057395363075461
5c.sql,268.310,6.410,5596001239447068866
6a.sql,35.428,6.006,3759324545287071861
6b.sql,174.457,6.182,-196995888411579451
6c.sql,15.061,5.943,3759324545287071861
6d.sql,3379.139,6.032,-196995888411579451
6e.sql,34.879,6.712,3759324545287071861
6f.sql,3440.488,6.862,-4608735958739764665
7a.sql,721.471,24.353,7100159318594498086
7b.sql,186.174,22.449,-298514962653462987
7c.sql,4636.751,25.046,-7678011977838348522
8a.sql,1347.910,14.941,99813637196177449
8b.sql,156.690,14.045,4954783290691726040
8c.sql,8824.975,14.810,-2444720784039749802
8d.sql,3148.550,14.714,-2444720784039749802
9a.sql,4360.608,23.602,-6747521538659772949
9b.sql,1484.182,22.458,316739818532851506
9c.sql,910.868,24.722,-180252288200201541
9d.sql,10286.080,25.310,7221379846823333251
