queryid,execution_time_with_aqo,execution_time_without_aqo,planning_time_with_aqo,planning_time_without_aqo,cardinality_error_with_aqo,cardinality_error_without_aqo,executions_with_aqo,executions_without_aqo
-1723239386245354632,{},"{0.104196726,0.107928654,0.100065651,0.102697066}",{},"{0.215031955,0.216875214,0.221409453,0.217849417}",{},"{1.5427148332287772,1.5427148332287772,1.5427148332287772,1.5427148332287772}",0,4
7221379846823333251,{},"{9.68688757,10.270692064,9.094446235,9.147956542}",{},"{0.024303926,0.025216008,0.022027603,0.021666908}",{},"{1.1724499962951114,1.1724499962951114,1.1724499962951114,1.1724499962951114}",0,4
299267792258938541,{},"{0.519318434,0.458380469,0.507695006,0.490273514}",{},"{0.020065012,0.019033149,0.019819806,0.019519494}",{},"{2.480961058352218,2.480961058352218,2.480961058352218,2.480961058352218}",0,4
-2202723705874175045,{},"{4.656955208,4.087067728,2.6178213660000003,2.78410024}",{},"{0.050819228,0.049399513,0.045600462,0.047252488}",{},"{2.327747409614936,2.327747409614936,2.327747409614936,2.327747409614936}",0,4
316739818532851506,{},"{1.352206567,1.485015,1.436420813,1.376510765}",{},"{0.02124865,0.022369132,0.022376979,0.020900681}",{},"{1.2976386843372074,1.2976386843372074,1.2976386843372074,1.2976386843372074}",0,4
5596001239447068866,{},"{0.283470398,0.268777531,0.267841428,0.267533703}",{},"{0.007097458,0.006337256,0.006624962,0.006159068}",{},"{1.3379145244175785,1.3379145244175785,1.3379145244175785,1.3379145244175785}",0,4
-4608735958739764665,{},"{3.59905768,3.441038813,3.461172329,3.432759682}",{},"{0.006559589,0.006783639,0.006283176,0.006129016}",{},"{1.9694939972409593,1.9694939972409593,1.9694939972409593,1.9694939972409593}",0,4
3199076743843001296,{},"{11.338792893,18.965381745,11.405394451,20.292700666,11.575438498,18.654708961,10.605691236,18.222050743}",{},"{0.015078278,0.016177381,0.016338672,0.017773087,0.015373035,0.019462057,0.01386054,0.014715938}",{},"{3.7525137382604905,3.27007415403042,3.7525137382604905,3.27007415403042,3.7525137382604905,3.27007415403042,3.7525137382604905,3.27007415403042}",0,8
6624959997497422723,{},"{0.603017639,0.661343777,0.60840379,0.649817595}",{},"{0.2092193,0.232514589,0.219757473,0.213816793}",{},"{2.522344393505061,2.522344393505061,2.522344393505061,2.522344393505061}",0,4
-7994933085961275538,{},"{0.063628467,0.069785265,0.058447862,0.075364842}",{},"{0.100638501,0.109656111,0.101883685,0.108261833}",{},"{1.3217061791726592,1.3217061791726592,1.3217061791726592,1.3217061791726592}",0,4
-5459870143170781696,{},"{12.542484723,10.434366353,11.13388369,10.57359714,11.131017435,10.471780263,11.293018639,10.671403704}",{},"{0.013501904,0.015509752,0.015220474,0.014249933,0.016694772,0.015017056,0.015642128,0.014845979}",{},"{3.1946530788861813,3.6254565688547222,3.1946530788861813,3.6254565688547222,3.1946530788861813,3.6254565688547222,3.1946530788861813,3.6254565688547222}",0,8
7420183357700622221,{},"{1.548511492,1.425374931,1.464835514,1.7676578269999998,1.4170703709999999,1.327422356,1.252616024,1.570022407,1.416707106,1.304396588,1.242282144,1.588787376,1.367183816,1.320203091,1.241959782,1.570886319}",{},"{0.006620069,0.006232658,0.006782484,0.006664353,0.006026385,0.006179934,0.00577296,0.005825375,0.00575274,0.00565832,0.006196991,0.006027762,0.005990228,0.006033738,0.005830857,0.005883351}",{},"{3.8389623545220535,4.143600070251403,2.0606215700702615,2.982175520409184,3.8389623545220535,4.143600070251403,2.0606215700702615,2.982175520409184,3.8389623545220535,4.143600070251403,2.0606215700702615,2.982175520409184,3.8389623545220535,4.143600070251403,2.0606215700702615,2.982175520409184}",0,16
2103229838344518222,{},"{0.029544985,0.033683756,0.030531734,0.033608104}",{},"{0.20986432,0.213648196,0.215080357,0.213290795}",{},"{1.5927818433221785,1.5927818433221785,1.5927818433221785,1.5927818433221785}",0,4
-6682106289455670140,{},"{0.644650267,0.596485976,0.575661959,0.598619768}",{},"{0.224495344,0.209341239,0.203518764,0.201507971}",{},"{2.8704406234356408,2.8704406234356408,2.8704406234356408,2.8704406234356408}",0,4
1076878163750528468,{},"{0.200971961,0.227967811,0.216092527,0.231578349}",{},"{0.108464694,0.112776192,0.11095339,0.110017529}",{},"{1.2607333875608973,1.2607333875608973,1.2607333875608973,1.2607333875608973}",0,4
4184495773567888797,{},"{0.049126732,0.051060553,0.058914216,0.047064198}",{},"{0.053211821,0.053329716,0.054728849,0.049428674}",{},"{0.9444119582593682,0.9444119582593682,0.9444119582593682,0.9444119582593682}",0,4
146477119612211947,{},"{0.338606423,0.313238973,0.314512269,0.325840065}",{},"{0.142652713,0.129921057,0.128484936,0.132020285}",{},"{1.6510114393539272,1.6510114393539272,1.6510114393539272,1.6510114393539272}",0,4
7915967579038312663,{},"{21.633601744,20.076624574,20.249986614,20.296575286}",{},"{0.080647779,0.078996899,0.075237824,0.081212225}",{},"{1.7731285619145796,1.7731285619145796,1.7731285619145796,1.7731285619145796}",0,4
-2444720784039749802,{},"{8.209116852,2.9098469,8.806486682,3.142459438,7.753788889,2.8755746220000002,8.14495055,2.890170609}",{},"{0.012851204,0.013535662,0.014741311,0.014636461,0.012976515,0.012794634,0.013189152,0.013865473}",{},"{0.1523021884829276,0.8075849995063202,0.1523021884829276,0.8075849995063202,0.1523021884829276,0.8075849995063202,0.1523021884829276,0.8075849995063202}",0,8
1038524182031953798,{},"{0.195605508,0.214283834,0.220217787,0.196290465}",{},"{0.053003435,0.058623029,0.054690764,0.051554763}",{},"{1.5587731931219466,1.5587731931219466,1.5587731931219466,1.5587731931219466}",0,4
7100159318594498086,{},"{0.966524236,0.722368075,0.546787448,0.87830596}",{},"{0.027003135,0.024269724,0.022411006,0.024987894}",{},"{0.838401072979889,0.838401072979889,0.838401072979889,0.838401072979889}",0,4
9105500078934324812,{},"{4.60310677,4.959014188,5.025882205,4.871248862}",{},"{0.041997437,0.04571795,0.040548586,0.04774553}",{},"{3.3948039670639916,3.3948039670639916,3.3948039670639916,3.3948039670639916}",0,4
-4983731566966487840,{},"{0.281077305,0.320223245,0.245554857,0.298679833}",{},"{0.041829065,0.043173575,0.039657046,0.039707078}",{},"{0.7600419193192327,0.7600419193192327,0.7600419193192327,0.7600419193192327}",0,4
-5951735317690032369,{},"{0.187785542,0.179909513,0.191461104,0.175546577}",{},"{0.024333307,0.024981011,0.025945292,0.023416302}",{},"{2.4416492243671324,2.4416492243671324,2.4416492243671324,2.4416492243671324}",0,4
2494719406442254794,{},"{12.360694412,9.070979909,9.512528947,8.412726839}",{},"{0.010995485,0.010812862,0.012424729,0.009992309}",{},"{1.9401601380289502,1.9401601380289502,1.9401601380289502,1.9401601380289502}",0,4
-5845388691995996195,{},"{1.798283289,1.7432910910000001,1.732154247,1.733053036}",{},"{0.039698505,0.044736118,0.040656285,0.043688321}",{},"{3.1649931282805106,3.1649931282805106,3.1649931282805106,3.1649931282805106}",0,4
-4506995590541967356,{},"{0.20537647,0.196397666,0.205418856,0.20469685}",{},"{0.020243196,0.021676173,0.021527775,0.01910022}",{},"{0.960947753415567,0.960947753415567,0.960947753415567,0.960947753415567}",0,4
-3475685009172437784,{},"{0.522553014,0.565245671,0.558207541,0.610027498}",{},"{0.193321525,0.194100366,0.204712757,0.196780685}",{},"{2.0274212707817596,2.0274212707817596,2.0274212707817596,2.0274212707817596}",0,4
5068614643165729469,{},"{0.91528117,0.711829162,0.646576139,0.709752183}",{},"{0.077838049,0.086065502,0.074264044,0.080166342}",{},"{1.5492352668679226,1.5492352668679226,1.5492352668679226,1.5492352668679226}",0,4
607840843579539521,{},"{3.95856294,3.722054838,3.969253887,4.090572535}",{},"{0.032294218,0.024354824,0.023238629,0.027342362}",{},"{2.9050406887439526,2.9050406887439526,2.9050406887439526,2.9050406887439526}",0,4
-1829334865866162189,{},"{2.425462252,2.561804478,2.344918958,2.159777352}",{},"{0.031488374,0.027927611,0.030120142,0.027563399}",{},"{2.115776701792207,2.115776701792207,2.115776701792207,2.115776701792207}",0,4
-2924466581088026648,{},"{0.264922528,0.254944322,0.241000088,0.256496974}",{},"{0.014722227,0.014440498,0.013345579,0.014509516}",{},"{1.2709935667897903,1.2709935667897903,1.2709935667897903,1.2709935667897903}",0,4
-310926232940389306,{},"{1.425004935,1.5925274489999999,1.566056999,1.369665189}",{},"{0.049189997,0.047585287,0.042944232,0.044630884}",{},"{2.184852286129139,2.184852286129139,2.184852286129139,2.184852286129139}",0,4
-321921298358758659,{},"{1.834903924,1.9776654740000001,2.058374491,1.8321657199999999}",{},"{0.054065108,0.056908001,0.059551768,0.051072949}",{},"{0.9098334584697012,0.9098334584697012,0.9098334584697012,0.9098334584697012}",0,4
-1944885556475480423,{},"{26.655625601,27.08811278,26.90601321,25.99671775}",{},"{0.015953646,0.016098313,0.014628307,0.015516833}",{},"{3.231218458247482,3.231218458247482,3.231218458247482,3.231218458247482}",0,4
-4209927756710409746,{},"{0.044326512,0.036179032,0.038862417,0.043344589}",{},"{0.0487672,0.049158362,0.052592094,0.048547363}",{},"{1.1194814395222135,1.1194814395222135,1.1194814395222135,1.1194814395222135}",0,4
274192810335693858,{},"{0.44196894,0.299201104,0.326351236,0.310399942}",{},"{0.020205855,0.020109311,0.021202829,0.020298997}",{},"{2.3919651932192267,2.3919651932192267,2.3919651932192267,2.3919651932192267}",0,4
-2216088972165640435,{},"{0.642324296,0.695917258,0.628682508,0.691392628}",{},"{0.058716994,0.061078153,0.058095274,0.06207574}",{},"{1.893768616497765,1.893768616497765,1.893768616497765,1.893768616497765}",0,4
6417179009749033666,{},"{1.828304395,2.021287241,1.02971237,0.812911151}",{},"{0.01970646,0.020098776,0.023759079,0.019381057}",{},"{2.285934458646332,2.285934458646332,2.285934458646332,2.285934458646332}",0,4
-5949668645089970217,{},"{1.8505223389999998,1.96135427,1.8798393020000002,1.801588846}",{},"{0.112256148,0.116066094,0.108909125,0.105549403}",{},"{3.269581323873176,3.269581323873176,3.269581323873176,3.269581323873176}",0,4
4486446217020337985,{},"{1.702087227,1.7394976020000001,2.062808492,1.576567862}",{},"{0.049391516,0.050924138,0.059230841,0.050462061}",{},"{1.3672725040545155,1.3672725040545155,1.3672725040545155,1.3672725040545155}",0,4
-7110568913434103698,{},"{0.562409699,0.340599081,0.590550111,0.30179595,0.778296298,0.296730079,0.538422273,0.301226149}",{},"{0.111973201,0.113676075,0.114823171,0.118076144,0.116927362,0.11444023,0.107676269,0.103850054}",{},"{2.7556935356687307,1.577406813198557,2.7556935356687307,1.577406813198557,2.7556935356687307,1.577406813198557,2.7556935356687307,1.577406813198557}",0,8
6841805925482126349,{},"{2.407365649,2.482824878,2.459698844,2.445388029}",{},"{0.204387029,0.200793965,0.200495221,0.203597179}",{},"{2.7756249249631364,2.7756249249631364,2.7756249249631364,2.7756249249631364}",0,4
-9026514954839072455,{},"{0.624475011,0.476524158,0.257824537,0.214249976}",{},"{0.027806419,0.020682323,0.02386102,0.019303807}",{},"{1.7541360903846774,1.7541360903846774,1.7541360903846774,1.7541360903846774}",0,4
-3515944407635664271,{},"{0.039171266,0.03591431,0.035291439,0.038397252}",{},"{0.246848053,0.230531728,0.231165874,0.233467316}",{},"{1.1560613315747235,1.1560613315747235,1.1560613315747235,1.1560613315747235}",0,4
-4074774145614403639,{},"{0.121769968,0.123125073,0.128267317,0.121534823}",{},"{0.005065807,0.005161463,0.005280844,0.005043241}",{},"{2.2908177055115257,2.2908177055115257,2.2908177055115257,2.2908177055115257}",0,4
5539820102114296223,{},"{0.19578266,0.188987059,0.183341425,0.182144019}",{},"{0.007662554,0.007425016,0.007630607,0.006860547}",{},"{0.5877184568757967,0.5877184568757967,0.5877184568757967,0.5877184568757967}",0,4
1025902338300761143,{},"{1.939402344,1.898780925,2.047202399,2.032619431}",{},"{0.199638464,0.214284372,0.217870886,0.199584886}",{},"{2.891613403414699,2.891613403414699,2.891613403414699,2.891613403414699}",0,4
-2787191317670660246,{},"{0.033941068,0.03098341,0.031823337,0.031554237}",{},"{0.257955318,0.24348272,0.246081609,0.23550061}",{},"{1.1471334637074613,1.1471334637074613,1.1471334637074613,1.1471334637074613}",0,4
-1573023350148659030,{},"{1.05379938,1.056056727,1.088584285,1.05565809}",{},"{0.245135683,0.242512865,0.247625774,0.241670117}",{},"{2.898923201557696,2.898923201557696,2.898923201557696,2.898923201557696}",0,4
-6387362809141986757,{},"{1.001857997,1.095210589,1.1106884479999999,0.983385934}",{},"{0.046521415,0.0524643,0.048373623,0.046056606}",{},"{2.5343563644477998,2.5343563644477998,2.5343563644477998,2.5343563644477998}",0,4
2434959201386717317,{},"{8.948157527,9.75773211,9.337701384,8.539869968}",{},"{0.028379797,0.030868563,0.030410115,0.02777602}",{},"{2.5810045347407957,2.5810045347407957,2.5810045347407957,2.5810045347407957}",0,4
8031722090065659855,{},"{0.367469903,0.333206246,0.343215234,0.357326609}",{},"{0.007706851,0.006991102,0.00731933,0.007198684}",{},"{0.4162709988026723,0.4162709988026723,0.4162709988026723,0.4162709988026723}",0,4
-2080431693778951356,{},"{4.143917419,3.94178093,3.9365146170000003,4.171251231}",{},"{0.074538064,0.074315594,0.07592838,0.073118113}",{},"{2.442912938881128,2.442912938881128,2.442912938881128,2.442912938881128}",0,4
3549109824785540005,{},"{0.40654071,0.349931732,0.350982797,0.349861206}",{},"{0.332360165,0.316006124,0.320733015,0.313798236}",{},"{2.415858868857698,2.415858868857698,2.415858868857698,2.415858868857698}",0,4
-8754961486292191806,{},"{1.282538751,0.069238596,0.08649692,0.0706218}",{},"{0.033574275,0.023297064,0.02730529,0.022381885}",{},"{2.2671671387862196,2.2671671387862196,2.2671671387862196,2.2671671387862196}",0,4
-180252288200201541,{},"{0.835728756,0.911762092,0.84865527,0.933429953}",{},"{0.021423615,0.02461479,0.022294815,0.021400992}",{},"{0.857982879853761,0.857982879853761,0.857982879853761,0.857982879853761}",0,4
-6846011022746249658,{},"{0.025957509,0.023882236,0.024595985,0.023252559}",{},"{0.241420007,0.221056069,0.228248989,0.219805853}",{},"{0.33019432027047746,0.33019432027047746,0.33019432027047746,0.33019432027047746}",0,4
-5323664899700589841,{},"{0.069737625,0.06790924,0.068737421,0.070532089}",{},"{0.221244872,0.214346841,0.213671747,0.212593909}",{},"{1.593610027904181,1.593610027904181,1.593610027904181,1.593610027904181}",0,4
