Query Name,Execution Time,Plan time,Query hash
10a.sql,233.067,11.024,-6651533820180303979
10b.sql,107.490,10.385,988535410010893112
10c.sql,8413.029,10.062,2494719406442254794
11a.sql,69.990,22.485,-8754961486292191806
11b.sql,19.514,22.509,7102013096890644952
11c.sql,211.679,22.903,2333270921735776355
11d.sql,174.871,23.501,-5951735317690032369
12a.sql,213.514,19.391,-9026514954839072455
12b.sql,130.861,19.975,5632455736553151255
12c.sql,812.152,19.463,6417179009749033666
13a.sql,2158.950,27.648,-1829334865866162189
13b.sql,943.133,29.003,4778871310081631647
13c.sql,916.971,28.574,4778871310081631647
13d.sql,8538.909,27.860,2434959201386717317
14a.sql,309.648,20.381,274192810335693858
14b.sql,204.152,19.182,-4506995590541967356
14c.sql,489.560,19.610,299267792258938541
15a.sql,485.303,55.704,-460740518707800565
15b.sql,42.680,48.636,-4209927756710409746
15c.sql,1575.797,50.535,4486446217020337985
15d.sql,1831.285,51.152,-321921298358758659
16a.sql,388.631,22.973,816913887554954199
16b.sql,42376.137,23.463,3350265702090035455
16c.sql,4090.013,27.454,607840843579539521
16d.sql,3167.975,28.909,816913887554954199
17a.sql,25325.268,14.507,-917204397272063480
17b.sql,11292.509,15.725,-5459870143170781696
17c.sql,10670.989,14.921,-5459870143170781696
17d.sql,10605.296,13.940,3199076743843001296
17e.sql,25996.244,15.607,-1944885556475480423
17f.sql,18221.483,14.793,3199076743843001296
18a.sql,4697.769,14.886,-3485514449383768787
18b.sql,255.774,14.610,-2924466581088026648
18c.sql,4551.014,12.586,1168076528610430802
19a.sql,4170.321,73.268,-2080431693778951356
19b.sql,690.704,62.169,-2216088972165640435
19c.sql,708.748,80.270,5068614643165729469
19d.sql,20309.302,81.296,7915967579038312663
1a.sql,149.874,5.851,-1116224040252844741
1b.sql,121.075,5.127,-4074774145614403639
1c.sql,131.909,5.320,946838174961328458
1d.sql,124.567,5.495,-6885312641126422993
20a.sql,2783.190,47.332,-2202723705874175045
20b.sql,1368.700,44.713,-310926232940389306
20c.sql,982.388,46.143,-6387362809141986757
21a.sql,195.571,51.632,1038524182031953798
21b.sql,46.403,49.520,4184495773567888797
21c.sql,84.233,51.176,-7971004576533452411
22a.sql,537.299,107.757,-7110568913434103698
22b.sql,300.176,103.937,-7110568913434103698
22c.sql,1800.356,105.638,-5949668645089970217
22d.sql,3365.599,117.174,1524343667767028728
23a.sql,142.932,113.745,4445581228366823766
23b.sql,74.448,108.342,-7994933085961275538
23c.sql,230.345,110.091,1076878163750528468
24a.sql,648.779,213.908,6624959997497422723
24b.sql,108.763,202.066,1322643491423167220
25a.sql,1732.147,43.792,-5845388691995996195
25b.sql,297.877,39.798,-4983731566966487840
25c.sql,4870.232,47.835,9105500078934324812
26a.sql,2031.450,199.677,1025902338300761143
26b.sql,608.971,196.919,-3475685009172437784
26c.sql,2444.273,203.695,6841805925482126349
27a.sql,69.607,212.676,-5323664899700589841
27b.sql,32.832,213.364,2103229838344518222
27c.sql,101.809,217.932,-1723239386245354632
28a.sql,1054.514,241.750,-1573023350148659030
28b.sql,761.621,239.922,-3210595597316270705
28c.sql,586.593,242.868,5372730239182956237
29a.sql,47.112,285.209,1693774000992751456
29b.sql,23.557,278.554,-6571914703387389993
29c.sql,348.534,313.887,3549109824785540005
2a.sql,1366.848,6.056,7420183357700622221
2b.sql,1319.917,6.106,7420183357700622221
2c.sql,1241.662,5.902,7420183357700622221
2d.sql,1570.553,5.963,7420183357700622221
30a.sql,597.697,201.620,-6682106289455670140
30b.sql,326.394,200.160,7721649514993682563
30c.sql,4515.274,202.267,-1889760809355916724
31a.sql,4021.892,167.330,7519382914444524780
31b.sql,324.785,132.099,146477119612211947
31c.sql,6446.283,154.698,2399599952233934428
32a.sql,25.095,11.799,6225652705960457954
32b.sql,315.262,11.433,6225652705960457954
33a.sql,37.134,233.557,-3515944407635664271
33b.sql,22.044,219.888,-6846011022746249658
33c.sql,30.392,235.600,-2787191317670660246
3a.sql,181.803,6.928,5539820102114296223
3b.sql,124.829,6.666,2073429154321355728
3c.sql,357.009,7.274,8031722090065659855
4a.sql,160.804,5.947,-1950505845315524548
4b.sql,103.754,5.530,-1950505845315524548
4c.sql,179.411,5.572,-1950505845315524548
5a.sql,225.151,6.184,9106003620751043838
5b.sql,209.116,6.499,-3414057395363075461
5c.sql,267.039,6.230,5596001239447068866
6a.sql,33.505,5.777,3759324545287071861
6b.sql,170.659,6.161,-196995888411579451
6c.sql,17.845,5.926,3759324545287071861
6d.sql,3272.807,6.209,-196995888411579451
6e.sql,33.861,6.287,3759324545287071861
6f.sql,3432.165,6.205,-4608735958739764665
7a.sql,877.496,25.080,7100159318594498086
7b.sql,201.866,23.158,-298514962653462987
7c.sql,4654.903,26.511,-7678011977838348522
8a.sql,1356.541,15.273,99813637196177449
8b.sql,156.872,14.559,4954783290691726040
8c.sql,8148.094,13.256,-2444720784039749802
8d.sql,2896.045,13.944,-2444720784039749802
9a.sql,3463.970,22.915,-6747521538659772949
9b.sql,1375.707,20.983,316739818532851506
9c.sql,932.666,21.495,-180252288200201541
9d.sql,9161.315,21.745,7221379846823333251
